X4_apparent	N_data	Mean	S.D.	Min	Max	Range	conf_int	median	5percentile	15percentile	85percentile	95percentile
0.5224	196603	1.68698652	0.165396944	1.1396	2.0896	0.95	0.000731113	1.6916	1.4076	1.5116	1.8656	1.9516
0.6028	244860	1.990219333	0.163322713	1.4752	2.4112	0.936	0.000646902	1.9892	1.7192	1.8152	2.1692	2.2612
0.2921	44092	0.937528912	0.103673156	0.6164	1.1684	0.552	0.000967724	0.9424	0.7604	0.8264	1.0484	1.1024
0.3885	93143	1.244646382	0.133754774	0.804	1.554	0.75	0.000858994	1.25	1.014	1.102	1.388	1.456
0.4714	154833	1.512604334	0.157100479	0.9856	1.8856	0.9	0.000782526	1.5176	1.2456	1.3456	1.6816	1.7616
1	216	4	0	4	4	0	0	4	4	4	4	4
1	216	4	0	4	4	0	0	4	4	4	4	4
0.9828	792	3.905381818	0.022196716	3.8472	3.9312	0.084	0.001549222	3.9052	3.8752	3.8832	3.9312	3.9312
0.9963	216	3.9852	4.44E-16	3.9852	3.9852	0	5.97E-17	3.9852	3.9852	3.9852	3.9852	3.9852
1	216	4	0	4	4	0	0	4	4	4	4	4
0.7362	194270	2.571389077	0.148716546	2.0308	2.9448	0.914	0.000661315	2.5768	2.3168	2.4168	2.7288	2.8088
0.7442	185374	2.609759034	0.146945877	2.0648	2.9768	0.912	0.000668937	2.6148	2.3588	2.4568	2.7648	2.8448
0.4953	174757	1.592663758	0.162077383	1.0312	1.9812	0.95	0.000759902	1.5972	1.3172	1.4212	1.7672	1.8512
0.6231	249921	2.072200297	0.161513929	1.5604	2.4924	0.932	0.000633227	2.0724	1.8044	1.8984	2.2484	2.3404
0.6594	248171	2.224026085	0.158385298	1.7116	2.6376	0.926	0.000623147	2.2236	1.9616	2.0556	2.3956	2.4856
0.7839	136052	2.806616126	0.13552872	2.3236	3.1356	0.812	0.000720166	2.8136	2.5736	2.6616	2.9496	3.0196
0.8141	97567	2.961825543	0.126243572	2.5244	3.2564	0.732	0.000792161	2.9704	2.7384	2.8244	3.0944	3.1584
0.8664	44288	3.242116709	0.10724737	2.8736	3.4656	0.592	0.000998869	3.2536	3.0416	3.1296	3.3496	3.3996
0.948	5008	3.706492812	0.050832855	3.54	3.792	0.252	0.001408344	3.712	3.6	3.65	3.758	3.784
0.9323	8791	3.617273029	0.062697593	3.3932	3.7292	0.336	0.001310884	3.6272	3.4972	3.5492	3.6812	3.7052
0.8149	96984	2.965615611	0.126103267	2.5276	3.2596	0.732	0.000793656	2.9736	2.7416	2.8276	3.0976	3.1616
0.8949	24740	3.402026354	0.09139056	3.0476	3.5796	0.532	0.001138884	3.4136	3.2316	3.3076	3.4916	3.5316
0.9006	21338	3.435536283	0.086711562	3.0984	3.6024	0.504	0.001163545	3.4464	3.2744	3.3455	3.5224	3.5584
0.9813	834	3.898926619	0.022045344	3.8412	3.9252	0.084	0.00149925	3.8972	3.8622	3.8772	3.9252	3.9252
0.9642	2376	3.801279798	0.036650439	3.6888	3.8568	0.168	0.001474745	3.8068	3.7368	3.7608	3.8408	3.8568
0.8981	22584	3.421559759	0.088100322	3.0884	3.5924	0.504	0.001149101	3.4324	3.2564	3.3324	3.5084	3.5464
0.933	8481	3.621864167	0.062453008	3.396	3.732	0.336	0.00132943	3.632	3.5	3.558	3.684	3.708
0.9463	5303	3.697745729	0.051399308	3.5332	3.7852	0.252	0.001383836	3.7032	3.5932	3.6432	3.7492	3.7732
0.0321	468	0.107784615	0.019882495	0.0784	0.1284	0.05	0.001807955	0.1004	0.0784	0.0824	0.1284	0.1284
0.0582	1236	0.192780583	0.029122433	0.1328	0.2328	0.1	0.001625804	0.1948	0.1408	0.1568	0.2328	0.2328
0	216	0	0	0	0	0	0	0	0	0	0	0
0.0655	1560	0.215769231	0.03007952	0.16	0.262	0.102	0.001494284	0.216	0.1678	0.178	0.254	0.262
1	216	4	0	4	4	0	0	4	4	4	4	4
0.8916	26374	3.38415127	0.092838006	3.0344	3.5664	0.532	0.001120506	3.3964	3.2084	3.2864	3.4764	3.5184
0.8932	25502	3.393014415	0.092032547	3.0408	3.5728	0.532	0.001129618	3.4048	3.2208	3.2968	3.4848	3.5248
