Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,3/1/2023,2:25:05 PM,24,21.8,24,21.8
1,3/1/2023,2:25:10 PM,24,21.8,24,21.8
2,3/1/2023,2:25:15 PM,24,21.8,24,21.8
3,3/1/2023,2:25:20 PM,24,21.8,24,21.8
4,3/1/2023,2:25:25 PM,24,21.8,24,21.8
5,3/1/2023,2:25:30 PM,24,21.8,24,21.8
6,3/1/2023,2:25:35 PM,24,21.8,24,21.8
7,3/1/2023,2:25:40 PM,24,21.8,24,21.8
8,3/1/2023,2:25:45 PM,24,21.8,24,21.8
9,3/1/2023,2:25:50 PM,24,21.8,25,21.8
10,3/1/2023,2:25:55 PM,24,21.8,25,21.8
11,3/1/2023,2:26:00 PM,24,21.8,25,21.8
12,3/1/2023,2:26:05 PM,24,21.8,25,21.8
13,3/1/2023,2:26:10 PM,24,21.8,25,21.8
14,3/1/2023,2:26:15 PM,24,21.8,25,21.8
15,3/1/2023,2:26:20 PM,24,21.8,25,21.8
16,3/1/2023,2:26:25 PM,24,21.8,25,21.8
17,3/1/2023,2:26:30 PM,24,21.8,25,21.8
18,3/1/2023,2:26:35 PM,24,21.8,25,21.8
19,3/1/2023,2:26:40 PM,24,21.8,25,21.8
20,3/1/2023,2:26:45 PM,24,21.8,25,21.8
21,3/1/2023,2:26:50 PM,24,21.8,25,21.8
22,3/1/2023,2:26:55 PM,24,21.8,25,21.8
23,3/1/2023,2:27:00 PM,24,21.9,25,21.8
24,3/1/2023,2:27:05 PM,24,21.9,25,21.8
25,3/1/2023,2:27:10 PM,24,21.9,25,21.8
26,3/1/2023,2:27:15 PM,24,21.9,25,21.8
27,3/1/2023,2:27:20 PM,24,21.9,25,21.8
28,3/1/2023,2:27:25 PM,24,21.9,25,21.8
29,3/1/2023,2:27:30 PM,24,21.9,25,21.8
30,3/1/2023,2:27:35 PM,24,21.9,25,21.8
31,3/1/2023,2:27:40 PM,24,21.9,25,21.8
32,3/1/2023,2:27:45 PM,24,21.9,25,21.8
33,3/1/2023,2:27:50 PM,25,21.9,25,21.8
34,3/1/2023,2:27:55 PM,25,21.9,25,21.8
35,3/1/2023,2:28:00 PM,25,21.9,25,21.8
36,3/1/2023,2:28:05 PM,25,21.9,25,21.8
37,3/1/2023,2:28:10 PM,25,21.9,25,21.8
38,3/1/2023,2:28:15 PM,25,22.0,26,21.8
39,3/1/2023,2:28:20 PM,25,22.0,25,21.8
40,3/1/2023,2:28:25 PM,25,22.0,26,21.9
41,3/1/2023,2:28:30 PM,25,22.0,26,21.9
42,3/1/2023,2:28:35 PM,25,22.0,26,21.9
43,3/1/2023,2:28:40 PM,25,22.1,26,21.9
44,3/1/2023,2:28:45 PM,25,22.1,26,21.9
45,3/1/2023,2:28:50 PM,25,22.1,26,21.9
46,3/1/2023,2:28:55 PM,25,22.1,26,21.9
47,3/1/2023,2:29:00 PM,25,22.1,26,21.9
48,3/1/2023,2:29:05 PM,25,22.1,26,21.9
49,3/1/2023,2:29:10 PM,25,22.1,26,21.9
50,3/1/2023,2:29:15 PM,25,22.1,26,21.9
51,3/1/2023,2:29:20 PM,25,22.1,26,21.9
52,3/1/2023,2:29:25 PM,25,22.1,25,21.9
53,3/1/2023,2:29:30 PM,25,22.1,26,21.9
54,3/1/2023,2:29:35 PM,25,22.1,26,21.9
55,3/1/2023,2:29:40 PM,25,22.1,26,21.9
56,3/1/2023,2:29:45 PM,25,22.1,26,21.9
57,3/1/2023,2:29:50 PM,25,22.1,26,21.9
58,3/1/2023,2:29:55 PM,25,22.1,26,21.9
59,3/1/2023,2:30:00 PM,25,22.2,26,21.9
60,3/1/2023,2:30:05 PM,25,22.2,26,21.9
