Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,2/27/2023,5:57:19 PM,20,21.3,21,21.3
1,2/27/2023,5:57:24 PM,20,21.3,21,21.3
2,2/27/2023,5:57:29 PM,20,21.3,21,21.3
3,2/27/2023,5:57:34 PM,20,21.3,21,21.3
4,2/27/2023,5:57:39 PM,20,21.3,21,21.3
5,2/27/2023,5:57:44 PM,20,21.3,21,21.3
6,2/27/2023,5:57:49 PM,20,21.3,21,21.3
7,2/27/2023,5:57:54 PM,20,21.3,21,21.3
8,2/27/2023,5:57:59 PM,20,21.3,21,21.3
9,2/27/2023,5:58:04 PM,20,21.3,21,21.3
10,2/27/2023,5:58:09 PM,20,21.3,21,21.3
11,2/27/2023,5:58:14 PM,20,21.3,21,21.3
12,2/27/2023,5:58:19 PM,20,21.3,21,21.3
13,2/27/2023,5:58:24 PM,20,21.3,21,21.3
14,2/27/2023,5:58:29 PM,20,21.3,21,21.3
15,2/27/2023,5:58:34 PM,20,21.3,21,21.3
16,2/27/2023,5:58:39 PM,20,21.3,21,21.3
17,2/27/2023,5:58:44 PM,20,21.3,21,21.3
18,2/27/2023,5:58:49 PM,20,21.3,21,21.3
19,2/27/2023,5:58:54 PM,20,21.3,21,21.3
20,2/27/2023,5:58:59 PM,20,21.3,21,21.3
21,2/27/2023,5:59:04 PM,20,21.3,21,21.3
22,2/27/2023,5:59:09 PM,20,21.3,21,21.3
23,2/27/2023,5:59:14 PM,20,21.3,21,21.3
24,2/27/2023,5:59:19 PM,20,21.3,21,21.3
25,2/27/2023,5:59:24 PM,20,21.3,21,21.3
26,2/27/2023,5:59:29 PM,20,21.3,21,21.3
27,2/27/2023,5:59:34 PM,20,21.3,21,21.3
28,2/27/2023,5:59:39 PM,20,21.3,21,21.3
29,2/27/2023,5:59:44 PM,20,21.3,21,21.3
30,2/27/2023,5:59:49 PM,20,21.3,21,21.3
31,2/27/2023,5:59:54 PM,20,21.3,21,21.3
32,2/27/2023,5:59:59 PM,20,21.3,21,21.3
33,2/27/2023,6:00:04 PM,20,21.3,21,21.3
34,2/27/2023,6:00:09 PM,20,21.3,21,21.3
35,2/27/2023,6:00:14 PM,20,21.3,21,21.3
36,2/27/2023,6:00:19 PM,20,21.3,21,21.3
37,2/27/2023,6:00:24 PM,20,21.3,21,21.3
38,2/27/2023,6:00:29 PM,20,21.3,21,21.3
39,2/27/2023,6:00:34 PM,20,21.3,21,21.3
40,2/27/2023,6:00:39 PM,20,21.3,21,21.3
41,2/27/2023,6:00:44 PM,20,21.3,21,21.3
42,2/27/2023,6:00:49 PM,20,21.3,21,21.3
43,2/27/2023,6:00:54 PM,20,21.3,21,21.3
44,2/27/2023,6:00:59 PM,20,21.3,21,21.3
45,2/27/2023,6:01:04 PM,20,21.3,21,21.3
46,2/27/2023,6:01:09 PM,20,21.3,21,21.3
47,2/27/2023,6:01:14 PM,20,21.3,21,21.3
48,2/27/2023,6:01:19 PM,20,21.3,21,21.3
49,2/27/2023,6:01:24 PM,20,21.3,21,21.3
50,2/27/2023,6:01:29 PM,20,21.3,21,21.3
51,2/27/2023,6:01:34 PM,20,21.3,21,21.3
52,2/27/2023,6:01:39 PM,20,21.3,21,21.3
