Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,3/3/2023,1:55:22 PM,55,23.7,41,23.1
1,3/3/2023,1:55:27 PM,55,23.7,41,23.1
2,3/3/2023,1:55:32 PM,55,23.7,41,23.1
3,3/3/2023,1:55:37 PM,56,23.7,41,23.1
4,3/3/2023,1:55:42 PM,56,23.7,41,23.1
5,3/3/2023,1:55:47 PM,56,23.7,42,23.1
6,3/3/2023,1:55:52 PM,56,23.7,42,23.1
7,3/3/2023,1:55:57 PM,57,23.7,42,23.1
8,3/3/2023,1:56:02 PM,57,23.7,42,23.1
9,3/3/2023,1:56:07 PM,57,23.6,43,23.0
10,3/3/2023,1:56:12 PM,58,23.6,42,23.0
11,3/3/2023,1:56:17 PM,58,23.6,43,23.0
12,3/3/2023,1:56:22 PM,58,23.6,43,23.0
13,3/3/2023,1:56:27 PM,59,23.6,43,23.0
14,3/3/2023,1:56:32 PM,59,23.6,43,22.9
15,3/3/2023,1:56:37 PM,59,23.6,43,22.9
16,3/3/2023,1:56:42 PM,60,23.6,44,22.9
17,3/3/2023,1:56:47 PM,60,23.6,44,22.9
18,3/3/2023,1:56:52 PM,60,23.6,44,22.9
19,3/3/2023,1:56:57 PM,60,23.6,44,22.9
20,3/3/2023,1:57:02 PM,61,23.6,45,22.9
21,3/3/2023,1:57:07 PM,61,23.6,45,22.9
22,3/3/2023,1:57:12 PM,61,23.6,45,22.9
23,3/3/2023,1:57:17 PM,61,23.6,45,22.9
24,3/3/2023,1:57:22 PM,62,23.6,45,22.9
25,3/3/2023,1:57:27 PM,62,23.6,45,22.9
26,3/3/2023,1:57:32 PM,62,23.6,45,22.9
27,3/3/2023,1:57:37 PM,62,23.6,46,22.9
28,3/3/2023,1:57:42 PM,63,23.6,46,22.9
29,3/3/2023,1:57:47 PM,63,23.6,46,22.9
30,3/3/2023,1:57:52 PM,63,23.6,46,22.9
31,3/3/2023,1:57:57 PM,63,23.6,46,22.9
32,3/3/2023,1:58:02 PM,64,23.6,47,22.9
33,3/3/2023,1:58:07 PM,64,23.6,47,22.9
34,3/3/2023,1:58:12 PM,64,23.6,47,22.9
35,3/3/2023,1:58:17 PM,64,23.6,47,22.8
36,3/3/2023,1:58:22 PM,65,23.6,47,22.8
37,3/3/2023,1:58:27 PM,65,23.6,47,22.8
38,3/3/2023,1:58:32 PM,65,23.6,47,22.8
39,3/3/2023,1:58:37 PM,65,23.6,47,22.8
40,3/3/2023,1:58:42 PM,66,23.6,47,22.8
41,3/3/2023,1:58:47 PM,66,23.6,48,22.8
42,3/3/2023,1:58:52 PM,66,23.6,48,22.8
43,3/3/2023,1:58:57 PM,67,23.6,48,22.8
44,3/3/2023,1:59:02 PM,67,23.6,48,22.8
45,3/3/2023,1:59:07 PM,67,23.6,49,22.8
46,3/3/2023,1:59:12 PM,67,23.6,49,22.8
47,3/3/2023,1:59:17 PM,68,23.6,49,22.8
48,3/3/2023,1:59:22 PM,68,23.6,49,22.8
49,3/3/2023,1:59:27 PM,68,23.6,49,22.8
50,3/3/2023,1:59:32 PM,68,23.5,49,22.8
51,3/3/2023,1:59:37 PM,68,23.6,49,22.8
52,3/3/2023,1:59:42 PM,69,23.6,49,22.8
53,3/3/2023,1:59:47 PM,69,23.6,49,22.8
54,3/3/2023,1:59:52 PM,69,23.6,49,22.8
55,3/3/2023,1:59:57 PM,69,23.6,50,22.8
56,3/3/2023,2:00:02 PM,70,23.6,50,22.8
57,3/3/2023,2:00:07 PM,70,23.5,50,22.8
58,3/3/2023,2:00:12 PM,70,23.5,50,22.8
59,3/3/2023,2:00:17 PM,70,23.5,50,22.8
60,3/3/2023,2:00:22 PM,71,23.5,51,22.8
61,3/3/2023,2:00:27 PM,71,23.5,51,22.8
62,3/3/2023,2:00:32 PM,71,23.5,51,22.8
63,3/3/2023,2:00:37 PM,71,23.5,51,22.8
64,3/3/2023,2:00:42 PM,72,23.5,51,22.8
65,3/3/2023,2:00:47 PM,72,23.5,51,22.8
66,3/3/2023,2:00:52 PM,72,23.5,51,22.8
