Zn-XES Kbeta and VTC, 1m zncl2 + 5m licl in PEEK tube - sample = 60C, set point = 65C
Ge555, Pd target
35kV 2.5 mA
det offset = +0.12
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.36682055E+1	-1.30004000E+5	-1.19507000E+5	1.30000000E+1	7.20000000E+1	4.04900000E+0	4.04900000E+0	3.21066930E+0	5.68041492E+0	1.77821684E+1
9.55025000E+3	8.36549558E+1	-1.31163000E+5	-1.20667000E+5	1.80000000E+1	8.40000000E+1	4.05000000E+0	4.05100000E+0	4.44334732E+0	6.66666667E+0	2.07407407E+1
9.55050000E+3	8.36417338E+1	-1.32318000E+5	-1.21823000E+5	2.00000000E+1	7.80000000E+1	4.04900000E+0	4.05000000E+0	4.93827160E+0	8.64410966E+0	1.92640158E+1
9.55075000E+3	8.36285393E+1	-1.33472000E+5	-1.22978000E+5	2.00000000E+1	6.60000000E+1	4.05000000E+0	4.05000000E+0	4.93827160E+0	6.66666667E+0	1.62962963E+1
9.55100000E+3	8.36153722E+1	-1.34623000E+5	-1.24130000E+5	1.60000000E+1	6.20000000E+1	4.05000000E+0	4.05000000E+0	3.95061728E+0	6.66666667E+0	1.53086420E+1
9.55125000E+3	8.36022322E+1	-1.35771000E+5	-1.25279000E+5	1.20000000E+1	6.50000000E+1	4.05100000E+0	4.05100000E+0	2.96223155E+0	5.92446310E+0	1.60454209E+1
9.55150000E+3	8.35891192E+1	-1.36917000E+5	-1.26426000E+5	1.90000000E+1	6.10000000E+1	4.04900000E+0	4.05000000E+0	4.69135802E+0	5.68041492E+0	1.50654483E+1
9.55175000E+3	8.35760331E+1	-1.38060000E+5	-1.27571000E+5	1.10000000E+1	6.90000000E+1	4.04900000E+0	4.05000000E+0	2.71604938E+0	6.17436404E+0	1.70412448E+1
9.55200000E+3	8.35629737E+1	-1.39201000E+5	-1.28713000E+5	2.30000000E+1	9.00000000E+1	4.05000000E+0	4.05000000E+0	5.67901235E+0	1.03703704E+1	2.22222222E+1
9.55225000E+3	8.35499407E+1	-1.40340000E+5	-1.29852000E+5	2.00000000E+1	7.40000000E+1	4.04800000E+0	4.04900000E+0	4.93949123E+0	8.15217391E+0	1.82806324E+1
9.55250000E+3	8.35369342E+1	-1.41476000E+5	-1.30990000E+5	1.90000000E+1	6.50000000E+1	4.05000000E+0	4.05000000E+0	4.69135802E+0	6.91358025E+0	1.60493827E+1
9.55275000E+3	8.35239539E+1	-1.42609000E+5	-1.32124000E+5	1.80000000E+1	6.70000000E+1	4.05000000E+0	4.05000000E+0	4.44444444E+0	8.64197531E+0	1.65432099E+1
9.55300000E+3	8.35109996E+1	-1.43741000E+5	-1.33257000E+5	2.40000000E+1	7.80000000E+1	4.04900000E+0	4.05000000E+0	5.92592593E+0	9.13805878E+0	1.92640158E+1
9.55325000E+3	8.34980712E+1	-1.44869000E+5	-1.34387000E+5	1.80000000E+1	6.90000000E+1	4.05000000E+0	4.05000000E+0	4.44444444E+0	8.64197531E+0	1.70370370E+1
9.55350000E+3	8.34851686E+1	-1.45996000E+5	-1.35514000E+5	2.30000000E+1	6.70000000E+1	4.04900000E+0	4.04900000E+0	5.68041492E+0	7.65621141E+0	1.65472956E+1
9.55375000E+3	8.34722916E+1	-1.47120000E+5	-1.36640000E+5	1.60000000E+1	7.70000000E+1	4.05100000E+0	4.05100000E+0	3.94964206E+0	7.89928413E+0	1.90076524E+1
9.55400000E+3	8.34594401E+1	-1.48242000E+5	-1.37762000E+5	2.20000000E+1	7.60000000E+1	4.04900000E+0	4.04900000E+0	5.43344036E+0	8.15016053E+0	1.87700667E+1
9.55425000E+3	8.34466138E+1	-1.49361000E+5	-1.38883000E+5	2.20000000E+1	8.10000000E+1	4.05000000E+0	4.05000000E+0	5.43209877E+0	9.62962963E+0	2.00000000E+1
9.55450000E+3	8.34338128E+1	-1.50479000E+5	-1.40001000E+5	1.90000000E+1	5.30000000E+1	4.04900000E+0	4.05000000E+0	4.69135802E+0	5.68041492E+0	1.30896518E+1
9.55475000E+3	8.34210367E+1	-1.51594000E+5	-1.41117000E+5	2.00000000E+1	8.60000000E+1	4.04900000E+0	4.05000000E+0	4.93827160E+0	7.90318597E+0	2.12398123E+1
9.55500000E+3	8.34082855E+1	-1.52706000E+5	-1.42231000E+5	2.40000000E+1	6.60000000E+1	4.05000000E+0	4.05000000E+0	5.92592593E+0	7.65432099E+0	1.62962963E+1
9.55525000E+3	8.33955591E+1	-1.53816000E+5	-1.43342000E+5	1.70000000E+1	6.30000000E+1	4.04900000E+0	4.04900000E+0	4.19856755E+0	5.92738948E+0	1.55593974E+1
9.55550000E+3	8.33828572E+1	-1.54924000E+5	-1.44452000E+5	2.60000000E+1	9.80000000E+1	4.04800000E+0	4.04900000E+0	6.42133860E+0	1.03754941E+1	2.42094862E+1
9.55575000E+3	8.33701798E+1	-1.56030000E+5	-1.45558000E+5	3.00000000E+1	9.20000000E+1	4.04900000E+0	4.05000000E+0	7.40740741E+0	9.63200790E+0	2.27216597E+1
9.55600000E+3	8.33575267E+1	-1.57134000E+5	-1.46663000E+5	1.30000000E+1	6.80000000E+1	4.05000000E+0	4.05000000E+0	3.20987654E+0	5.92592593E+0	1.67901235E+1
9.55625000E+3	8.33448978E+1	-1.58235000E+5	-1.47766000E+5	2.90000000E+1	7.00000000E+1	4.05000000E+0	4.05000000E+0	7.16049383E+0	9.87654321E+0	1.72839506E+1
9.55650000E+3	8.33322930E+1	-1.59334000E+5	-1.48866000E+5	2.50000000E+1	7.80000000E+1	4.04900000E+0	4.05000000E+0	6.17283951E+0	9.13805878E+0	1.92640158E+1
9.55675000E+3	8.33197120E+1	-1.60431000E+5	-1.49964000E+5	1.90000000E+1	7.90000000E+1	4.05000000E+0	4.05100000E+0	4.69019995E+0	6.66666667E+0	1.95061728E+1
9.55700000E+3	8.33071549E+1	-1.61526000E+5	-1.51060000E+5	1.60000000E+1	7.20000000E+1	4.05000000E+0	4.05100000E+0	3.94964206E+0	4.93827160E+0	1.77777778E+1
9.55725000E+3	8.32946214E+1	-1.62618000E+5	-1.52153000E+5	2.70000000E+1	7.70000000E+1	4.05000000E+0	4.05000000E+0	6.66666667E+0	1.01234568E+1	1.90123457E+1
9.55750000E+3	8.32821114E+1	-1.63709000E+5	-1.53245000E+5	2.80000000E+1	8.50000000E+1	4.04900000E+0	4.05000000E+0	6.91358025E+0	9.38503334E+0	2.09928377E+1
9.55775000E+3	8.32696248E+1	-1.64797000E+5	-1.54334000E+5	2.60000000E+1	7.40000000E+1	4.04900000E+0	4.04900000E+0	6.42133860E+0	8.39713510E+0	1.82761176E+1
9.55800000E+3	8.32571614E+1	-1.65883000E+5	-1.55421000E+5	2.70000000E+1	7.90000000E+1	4.04900000E+0	4.05000000E+0	6.66666667E+0	9.38503334E+0	1.95109904E+1
