Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,3/23/2023,3:53:13 PM,27,23.4,26,22.8
1,3/23/2023,3:53:18 PM,27,23.4,26,22.8
2,3/23/2023,3:53:23 PM,27,23.4,26,22.8
3,3/23/2023,3:53:28 PM,27,23.4,26,22.8
4,3/23/2023,3:53:33 PM,27,23.3,26,22.8
5,3/23/2023,3:53:38 PM,27,23.3,26,22.8
6,3/23/2023,3:53:43 PM,27,23.3,26,22.8
7,3/23/2023,3:53:48 PM,27,23.3,26,22.8
8,3/23/2023,3:53:53 PM,27,23.3,26,22.8
9,3/23/2023,3:53:58 PM,27,23.3,26,22.8
10,3/23/2023,3:54:03 PM,27,23.3,26,22.8
11,3/23/2023,3:54:08 PM,27,23.3,25,22.8
12,3/23/2023,3:54:13 PM,27,23.3,25,22.8
13,3/23/2023,3:54:18 PM,27,23.3,25,22.8
14,3/23/2023,3:54:23 PM,27,23.3,25,22.8
15,3/23/2023,3:54:28 PM,27,23.3,25,22.8
16,3/23/2023,3:54:33 PM,27,23.3,25,22.8
17,3/23/2023,3:54:38 PM,27,23.3,25,22.8
18,3/23/2023,3:54:43 PM,27,23.3,25,22.8
19,3/23/2023,3:54:48 PM,27,23.3,25,22.8
20,3/23/2023,3:54:53 PM,27,23.3,25,22.8
21,3/23/2023,3:54:58 PM,27,23.3,25,22.8
22,3/23/2023,3:55:03 PM,26,23.3,25,22.8
23,3/23/2023,3:55:08 PM,26,23.3,25,22.8
24,3/23/2023,3:55:13 PM,26,23.3,25,22.8
25,3/23/2023,3:55:18 PM,26,23.3,25,22.8
26,3/23/2023,3:55:23 PM,26,23.3,25,22.8
27,3/23/2023,3:55:28 PM,26,23.3,25,22.8
28,3/23/2023,3:55:33 PM,26,23.3,25,22.8
29,3/23/2023,3:55:38 PM,26,23.3,25,22.8
30,3/23/2023,3:55:43 PM,26,23.3,25,22.8
31,3/23/2023,3:55:48 PM,26,23.3,25,22.8
32,3/23/2023,3:55:53 PM,26,23.3,25,22.8
33,3/23/2023,3:55:58 PM,26,23.3,25,22.8
34,3/23/2023,3:56:03 PM,26,23.3,25,22.8
35,3/23/2023,3:56:08 PM,26,23.3,25,22.8
36,3/23/2023,3:56:13 PM,26,23.3,25,22.8
37,3/23/2023,3:56:18 PM,26,23.3,25,22.8
38,3/23/2023,3:56:23 PM,26,23.3,25,22.8
39,3/23/2023,3:56:28 PM,26,23.3,25,22.8
40,3/23/2023,3:56:33 PM,26,23.3,25,22.8
41,3/23/2023,3:56:38 PM,26,23.3,25,22.8
42,3/23/2023,3:56:43 PM,26,23.3,25,22.8
43,3/23/2023,3:56:48 PM,26,23.3,25,22.8
44,3/23/2023,3:56:53 PM,26,23.3,24,22.8
45,3/23/2023,3:56:58 PM,26,23.3,25,22.8
46,3/23/2023,3:57:03 PM,26,23.3,25,22.8
47,3/23/2023,3:57:08 PM,26,23.3,24,22.8
48,3/23/2023,3:57:13 PM,26,23.3,26,22.8
49,3/23/2023,3:57:18 PM,26,23.3,23,22.8
50,3/23/2023,3:57:23 PM,26,23.3,24,22.8
51,3/23/2023,3:57:28 PM,26,23.3,24,22.8
52,3/23/2023,3:57:33 PM,26,23.3,25,22.8
53,3/23/2023,3:57:38 PM,26,23.3,22,22.8
54,3/23/2023,3:57:43 PM,26,23.3,27,22.8
55,3/23/2023,3:57:48 PM,26,23.3,24,22.8
56,3/23/2023,3:57:53 PM,25,23.3,23,22.8
57,3/23/2023,3:57:58 PM,25,23.4,24,22.8
58,3/23/2023,3:58:03 PM,25,23.4,24,22.8
59,3/23/2023,3:58:08 PM,26,23.4,24,22.8
60,3/23/2023,3:58:13 PM,26,23.4,24,22.8
61,3/23/2023,3:58:18 PM,26,23.4,27,22.8
62,3/23/2023,3:58:23 PM,26,23.4,25,22.8
63,3/23/2023,3:58:28 PM,26,23.4,25,22.8
64,3/23/2023,3:58:33 PM,26,23.4,25,22.8
65,3/23/2023,3:58:38 PM,26,23.4,25,22.8
66,3/23/2023,3:58:43 PM,26,23.4,25,22.8
67,3/23/2023,3:58:48 PM,26,23.4,25,22.8
68,3/23/2023,3:58:53 PM,26,23.4,25,22.8
69,3/23/2023,3:58:58 PM,27,23.4,26,22.8
70,3/23/2023,3:59:03 PM,27,23.4,26,22.8
71,3/23/2023,3:59:08 PM,27,23.4,26,22.8
72,3/23/2023,3:59:13 PM,28,23.4,26,22.8
73,3/23/2023,3:59:18 PM,28,23.4,26,22.8
74,3/23/2023,3:59:23 PM,28,23.4,26,22.8
75,3/23/2023,3:59:28 PM,29,23.4,26,22.8
76,3/23/2023,3:59:33 PM,29,23.4,26,22.8
77,3/23/2023,3:59:38 PM,29,23.4,29,22.8
78,3/23/2023,3:59:43 PM,30,23.4,29,22.8
79,3/23/2023,3:59:48 PM,30,23.4,31,22.8
80,3/23/2023,3:59:53 PM,30,23.4,33,22.8
81,3/23/2023,3:59:58 PM,31,23.4,34,22.8
82,3/23/2023,4:00:03 PM,31,23.4,37,22.8
83,3/23/2023,4:00:08 PM,31,23.4,39,22.8
84,3/23/2023,4:00:13 PM,32,23.4,41,22.8
85,3/23/2023,4:00:18 PM,32,23.4,42,22.8
86,3/23/2023,4:00:23 PM,32,23.3,44,22.8
87,3/23/2023,4:00:28 PM,33,23.3,46,22.8
