Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,2/6/2023,2:24:50 PM,23,22.2,23,22.3
1,2/6/2023,2:24:55 PM,23,22.2,23,22.3
2,2/6/2023,2:25:00 PM,23,22.2,23,22.3
3,2/6/2023,2:25:05 PM,23,22.2,23,22.3
4,2/6/2023,2:25:10 PM,23,22.2,23,22.3
5,2/6/2023,2:25:15 PM,23,22.2,23,22.3
6,2/6/2023,2:25:20 PM,23,22.2,23,22.3
7,2/6/2023,2:25:25 PM,23,22.2,23,22.3
8,2/6/2023,2:25:30 PM,23,22.2,23,22.3
9,2/6/2023,2:25:35 PM,23,22.2,23,22.3
10,2/6/2023,2:25:40 PM,23,22.2,23,22.3
11,2/6/2023,2:25:45 PM,23,22.2,23,22.3
12,2/6/2023,2:25:50 PM,23,22.2,23,22.3
13,2/6/2023,2:25:55 PM,23,22.2,23,22.3
14,2/6/2023,2:26:00 PM,23,22.2,23,22.3
15,2/6/2023,2:26:05 PM,23,22.2,23,22.3
16,2/6/2023,2:26:10 PM,23,22.2,23,22.3
17,2/6/2023,2:26:15 PM,23,22.2,23,22.3
18,2/6/2023,2:26:20 PM,23,22.3,23,22.3
19,2/6/2023,2:26:25 PM,23,22.3,23,22.3
20,2/6/2023,2:26:30 PM,23,22.3,23,22.3
21,2/6/2023,2:26:35 PM,23,22.3,23,22.3
22,2/6/2023,2:26:40 PM,23,22.3,23,22.3
23,2/6/2023,2:26:45 PM,23,22.3,23,22.3
24,2/6/2023,2:26:50 PM,23,22.3,23,22.3
25,2/6/2023,2:26:55 PM,23,22.3,23,22.3
26,2/6/2023,2:27:00 PM,23,22.3,23,22.3
27,2/6/2023,2:27:05 PM,23,22.3,23,22.3
28,2/6/2023,2:27:10 PM,23,22.3,23,22.3
29,2/6/2023,2:27:15 PM,23,22.3,23,22.3
30,2/6/2023,2:27:20 PM,23,22.3,23,22.3
31,2/6/2023,2:27:25 PM,23,22.3,23,22.3
32,2/6/2023,2:27:30 PM,23,22.3,23,22.3
33,2/6/2023,2:27:35 PM,23,22.3,23,22.3
34,2/6/2023,2:27:40 PM,23,22.3,24,22.3
35,2/6/2023,2:27:45 PM,23,22.3,24,22.3
36,2/6/2023,2:27:50 PM,23,22.3,24,22.3
37,2/6/2023,2:27:55 PM,23,22.3,25,22.3
38,2/6/2023,2:28:00 PM,23,22.3,25,22.3
39,2/6/2023,2:28:05 PM,23,22.3,26,22.3
40,2/6/2023,2:28:10 PM,23,22.3,26,22.3
41,2/6/2023,2:28:15 PM,23,22.3,27,22.3
42,2/6/2023,2:28:20 PM,23,22.3,29,22.3
43,2/6/2023,2:28:25 PM,23,22.3,28,22.3
44,2/6/2023,2:28:30 PM,23,22.3,29,22.3
45,2/6/2023,2:28:35 PM,23,22.3,29,22.3
46,2/6/2023,2:28:40 PM,23,22.3,29,22.3
47,2/6/2023,2:28:45 PM,23,22.3,30,22.3
48,2/6/2023,2:28:50 PM,23,22.3,30,22.3
49,2/6/2023,2:28:55 PM,23,22.3,30,22.3
50,2/6/2023,2:29:00 PM,23,22.3,31,22.3
51,2/6/2023,2:29:05 PM,23,22.3,31,22.3
52,2/6/2023,2:29:10 PM,23,22.3,31,22.3
53,2/6/2023,2:29:15 PM,23,22.3,32,22.3
54,2/6/2023,2:29:20 PM,23,22.3,32,22.3
55,2/6/2023,2:29:25 PM,23,22.3,32,22.3
56,2/6/2023,2:29:30 PM,23,22.3,33,22.3
57,2/6/2023,2:29:35 PM,23,22.3,33,22.3
58,2/6/2023,2:29:40 PM,23,22.3,33,22.3
59,2/6/2023,2:29:45 PM,23,22.3,34,22.3
60,2/6/2023,2:29:50 PM,23,22.3,34,22.3
61,2/6/2023,2:29:55 PM,24,22.3,34,22.3
62,2/6/2023,2:30:00 PM,24,22.3,34,22.3
63,2/6/2023,2:30:05 PM,24,22.3,34,22.3
64,2/6/2023,2:30:10 PM,24,22.3,35,22.3
65,2/6/2023,2:30:15 PM,24,22.3,35,22.3
66,2/6/2023,2:30:20 PM,24,22.3,35,22.3
67,2/6/2023,2:30:25 PM,24,22.3,35,22.3
68,2/6/2023,2:30:30 PM,24,22.3,35,22.3
69,2/6/2023,2:30:35 PM,24,22.3,35,22.3
70,2/6/2023,2:30:40 PM,24,22.3,35,22.3
71,2/6/2023,2:30:45 PM,24,22.2,36,22.3
72,2/6/2023,2:30:50 PM,24,22.2,36,22.3
73,2/6/2023,2:30:55 PM,24,22.2,36,22.3
74,2/6/2023,2:31:00 PM,24,22.2,36,22.3
75,2/6/2023,2:31:05 PM,24,22.2,36,22.3
76,2/6/2023,2:31:10 PM,24,22.2,36,22.3
