Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,10,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,3/31/2023,6:36:47 PM,24,22.6,23,22.3
1,3/31/2023,6:36:57 PM,24,22.5,24,22.3
2,3/31/2023,6:37:07 PM,24,22.5,24,22.3
3,3/31/2023,6:37:17 PM,24,22.4,23,22.3
4,3/31/2023,6:37:27 PM,24,22.4,23,22.3
5,3/31/2023,6:37:37 PM,24,22.4,24,22.3
6,3/31/2023,6:37:47 PM,24,22.4,24,22.3
7,3/31/2023,6:37:57 PM,24,22.4,23,22.3
8,3/31/2023,6:38:07 PM,24,22.4,24,22.3
9,3/31/2023,6:38:17 PM,24,22.4,23,22.3
10,3/31/2023,6:38:27 PM,24,22.4,24,22.3
11,3/31/2023,6:38:37 PM,24,22.4,23,22.3
12,3/31/2023,6:38:47 PM,24,22.4,23,22.3
13,3/31/2023,6:38:57 PM,24,22.4,23,22.3
14,3/31/2023,6:39:07 PM,25,22.4,24,22.3
15,3/31/2023,6:39:17 PM,25,22.4,23,22.3
16,3/31/2023,6:39:27 PM,24,22.4,24,22.3
17,3/31/2023,6:39:37 PM,24,22.4,24,22.2
18,3/31/2023,6:39:47 PM,24,22.4,24,22.2
19,3/31/2023,6:39:57 PM,24,22.4,25,22.2
20,3/31/2023,6:40:07 PM,24,22.4,25,22.2
21,3/31/2023,6:40:17 PM,24,22.4,26,22.2
22,3/31/2023,6:40:27 PM,24,22.4,26,22.2
23,3/31/2023,6:40:37 PM,24,22.4,27,22.2
24,3/31/2023,6:40:47 PM,25,22.4,27,22.2
25,3/31/2023,6:40:57 PM,25,22.4,27,22.2
26,3/31/2023,6:41:07 PM,25,22.4,27,22.2
27,3/31/2023,6:41:17 PM,25,22.4,28,22.2
28,3/31/2023,6:41:27 PM,25,22.4,28,22.2
29,3/31/2023,6:41:37 PM,25,22.4,28,22.2
30,3/31/2023,6:41:47 PM,25,22.4,28,22.2
31,3/31/2023,6:41:57 PM,25,22.4,28,22.2
32,3/31/2023,6:42:07 PM,25,22.4,29,22.2
33,3/31/2023,6:42:17 PM,25,22.4,29,22.2
34,3/31/2023,6:42:27 PM,25,22.4,29,22.1
35,3/31/2023,6:42:37 PM,25,22.4,29,22.1
36,3/31/2023,6:42:47 PM,25,22.4,29,22.1
37,3/31/2023,6:42:57 PM,24,22.4,29,22.1
38,3/31/2023,6:43:07 PM,24,22.4,30,22.1
39,3/31/2023,6:43:17 PM,25,22.4,30,22.1
40,3/31/2023,6:43:27 PM,25,22.4,29,22.1
41,3/31/2023,6:43:37 PM,25,22.4,29,22.1
42,3/31/2023,6:43:47 PM,25,22.4,29,22.1
43,3/31/2023,6:43:57 PM,25,22.4,30,22.1
44,3/31/2023,6:44:07 PM,24,22.4,31,22.1
45,3/31/2023,6:44:17 PM,25,22.4,32,22.1
46,3/31/2023,6:44:27 PM,25,22.4,34,22.1
47,3/31/2023,6:44:37 PM,25,22.4,34,22.1
48,3/31/2023,6:44:47 PM,25,22.4,35,22.1
49,3/31/2023,6:44:57 PM,25,22.4,36,22.1
50,3/31/2023,6:45:07 PM,25,22.4,36,22.1
51,3/31/2023,6:45:17 PM,25,22.4,36,22.1
52,3/31/2023,6:45:27 PM,25,22.4,38,22.1
53,3/31/2023,6:45:37 PM,25,22.4,38,22.1
54,3/31/2023,6:45:47 PM,25,22.4,38,22.1
55,3/31/2023,6:45:57 PM,25,22.4,39,22.1
56,3/31/2023,6:46:07 PM,25,22.5,39,22.1
57,3/31/2023,6:46:17 PM,25,22.5,39,22.1
58,3/31/2023,6:46:27 PM,25,22.6,39,22.1
59,3/31/2023,6:46:37 PM,25,22.6,40,22.1
60,3/31/2023,6:46:47 PM,25,22.6,40,22.1
61,3/31/2023,6:46:57 PM,25,22.6,40,22.1
62,3/31/2023,6:47:07 PM,25,22.6,40,22.1
63,3/31/2023,6:47:17 PM,25,22.6,41,22.1
64,3/31/2023,6:47:27 PM,25,22.6,41,22.1
65,3/31/2023,6:47:37 PM,25,22.6,41,22.2
66,3/31/2023,6:47:47 PM,25,22.6,41,22.2
67,3/31/2023,6:47:57 PM,25,22.6,42,22.2
68,3/31/2023,6:48:07 PM,25,22.7,42,22.2
69,3/31/2023,6:48:17 PM,25,22.7,42,22.2
70,3/31/2023,6:48:27 PM,25,22.7,42,22.2
71,3/31/2023,6:48:37 PM,25,22.7,42,22.2
72,3/31/2023,6:48:47 PM,25,22.7,42,22.2
73,3/31/2023,6:48:57 PM,25,22.7,41,22.2
74,3/31/2023,6:49:07 PM,25,22.8,42,22.2
75,3/31/2023,6:49:17 PM,25,22.8,41,22.2
76,3/31/2023,6:49:27 PM,25,22.8,42,22.2
77,3/31/2023,6:49:37 PM,25,22.8,42,22.2
78,3/31/2023,6:49:47 PM,25,22.8,42,22.3
79,3/31/2023,6:49:57 PM,25,22.8,43,22.3
80,3/31/2023,6:50:07 PM,25,22.8,41,22.3
81,3/31/2023,6:50:17 PM,25,22.8,42,22.3
82,3/31/2023,6:50:27 PM,25,22.8,42,22.3
83,3/31/2023,6:50:37 PM,25,22.8,42,22.3
84,3/31/2023,6:50:47 PM,25,22.8,42,22.3
85,3/31/2023,6:50:57 PM,25,22.8,41,22.3
86,3/31/2023,6:51:07 PM,24,22.8,41,22.3
87,3/31/2023,6:51:17 PM,24,22.8,41,22.3
88,3/31/2023,6:51:27 PM,24,22.9,41,22.3
89,3/31/2023,6:51:37 PM,24,22.9,41,22.3
90,3/31/2023,6:51:47 PM,24,22.9,41,22.3
91,3/31/2023,6:51:57 PM,24,22.9,41,22.3
92,3/31/2023,6:52:07 PM,24,22.9,41,22.3
93,3/31/2023,6:52:17 PM,24,22.9,41,22.3
94,3/31/2023,6:52:27 PM,24,22.9,41,22.3
95,3/31/2023,6:52:37 PM,24,23.0,41,22.3
96,3/31/2023,6:52:47 PM,24,23.0,41,22.3
97,3/31/2023,6:52:57 PM,24,23.1,41,22.3
98,3/31/2023,6:53:07 PM,24,23.1,41,22.3
99,3/31/2023,6:53:17 PM,24,23.1,41,22.3
100,3/31/2023,6:53:27 PM,24,23.1,41,22.3
101,3/31/2023,6:53:37 PM,24,23.1,41,22.4
102,3/31/2023,6:53:47 PM,24,23.1,41,22.4
103,3/31/2023,6:53:57 PM,24,23.2,41,22.4
104,3/31/2023,6:54:07 PM,24,23.2,41,22.4
105,3/31/2023,6:54:17 PM,24,23.2,41,22.4
106,3/31/2023,6:54:27 PM,24,23.2,41,22.4
107,3/31/2023,6:54:37 PM,24,23.2,41,22.4
108,3/31/2023,6:54:47 PM,24,23.2,41,22.4
109,3/31/2023,6:54:57 PM,25,23.3,41,22.4
110,3/31/2023,6:55:07 PM,25,23.3,41,22.4
111,3/31/2023,6:55:17 PM,25,23.3,41,22.4
112,3/31/2023,6:55:27 PM,25,23.3,42,22.4
113,3/31/2023,6:55:37 PM,25,23.3,41,22.4
114,3/31/2023,6:55:47 PM,25,23.3,41,22.5
115,3/31/2023,6:55:57 PM,25,23.3,41,22.5
116,3/31/2023,6:56:07 PM,25,23.3,42,22.5
117,3/31/2023,6:56:17 PM,25,23.3,41,22.5
118,3/31/2023,6:56:27 PM,25,23.3,41,22.5
119,3/31/2023,6:56:37 PM,25,23.3,43,22.5
120,3/31/2023,6:56:47 PM,25,23.3,36,22.5
121,3/31/2023,6:56:57 PM,25,23.3,41,22.5
122,3/31/2023,6:57:07 PM,25,23.3,41,22.5
123,3/31/2023,6:57:17 PM,24,23.3,39,22.6
124,3/31/2023,6:57:27 PM,24,23.4,41,22.6
125,3/31/2023,6:57:37 PM,24,23.4,46,22.6
126,3/31/2023,6:57:47 PM,25,23.4,39,22.6
127,3/31/2023,6:57:57 PM,24,23.4,43,22.6
128,3/31/2023,6:58:07 PM,25,23.4,42,22.6
129,3/31/2023,6:58:17 PM,24,23.4,45,22.6
130,3/31/2023,6:58:27 PM,24,23.4,42,22.6
131,3/31/2023,6:58:37 PM,25,23.4,41,22.6
132,3/31/2023,6:58:47 PM,24,23.5,41,22.6
133,3/31/2023,6:58:57 PM,25,23.5,42,22.6
134,3/31/2023,6:59:07 PM,25,23.6,42,22.7
135,3/31/2023,6:59:17 PM,25,23.6,42,22.7
136,3/31/2023,6:59:27 PM,25,23.6,42,22.7
137,3/31/2023,6:59:37 PM,25,23.6,41,22.7
138,3/31/2023,6:59:47 PM,25,23.6,42,22.7
139,3/31/2023,6:59:57 PM,25,23.6,41,22.7
140,3/31/2023,7:00:07 PM,25,23.6,41,22.7
141,3/31/2023,7:00:17 PM,25,23.6,42,22.7
142,3/31/2023,7:00:27 PM,25,23.7,41,22.7
143,3/31/2023,7:00:37 PM,25,23.7,42,22.7
144,3/31/2023,7:00:47 PM,25,23.7,42,22.7
145,3/31/2023,7:00:57 PM,25,23.7,42,22.8
146,3/31/2023,7:01:07 PM,25,23.7,42,22.8
147,3/31/2023,7:01:17 PM,25,23.7,42,22.8
148,3/31/2023,7:01:27 PM,25,23.8,42,22.8
