Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,2/3/2023,5:38:01 PM,21,21.2,22,21.6
1,2/3/2023,5:38:06 PM,21,21.2,22,21.6
2,2/3/2023,5:38:11 PM,21,21.2,22,21.6
3,2/3/2023,5:38:16 PM,21,21.2,22,21.6
4,2/3/2023,5:38:21 PM,21,21.2,22,21.6
5,2/3/2023,5:38:26 PM,21,21.2,22,21.6
6,2/3/2023,5:38:31 PM,21,21.2,22,21.6
7,2/3/2023,5:38:36 PM,22,21.3,22,21.6
8,2/3/2023,5:38:41 PM,21,21.3,22,21.6
9,2/3/2023,5:38:46 PM,21,21.3,22,21.6
10,2/3/2023,5:38:51 PM,21,21.3,22,21.6
11,2/3/2023,5:38:56 PM,21,21.3,22,21.6
12,2/3/2023,5:39:01 PM,21,21.3,22,21.6
13,2/3/2023,5:39:06 PM,21,21.3,22,21.6
14,2/3/2023,5:39:11 PM,21,21.3,22,21.6
15,2/3/2023,5:39:16 PM,21,21.3,22,21.6
16,2/3/2023,5:39:21 PM,21,21.3,22,21.6
17,2/3/2023,5:39:26 PM,21,21.3,22,21.6
18,2/3/2023,5:39:31 PM,21,21.3,22,21.6
19,2/3/2023,5:39:36 PM,21,21.3,22,21.6
20,2/3/2023,5:39:41 PM,21,21.3,22,21.6
21,2/3/2023,5:39:46 PM,21,21.3,22,21.6
22,2/3/2023,5:39:51 PM,21,21.3,22,21.6
23,2/3/2023,5:39:56 PM,21,21.3,22,21.6
24,2/3/2023,5:40:01 PM,21,21.3,22,21.6
25,2/3/2023,5:40:06 PM,21,21.3,22,21.6
26,2/3/2023,5:40:11 PM,21,21.3,22,21.6
27,2/3/2023,5:40:16 PM,21,21.3,22,21.6
28,2/3/2023,5:40:21 PM,21,21.3,22,21.6
29,2/3/2023,5:40:26 PM,21,21.3,22,21.6
30,2/3/2023,5:40:31 PM,21,21.3,22,21.6
31,2/3/2023,5:40:36 PM,21,21.3,22,21.6
32,2/3/2023,5:40:41 PM,21,21.3,22,21.6
33,2/3/2023,5:40:46 PM,21,21.3,22,21.6
34,2/3/2023,5:40:51 PM,21,21.3,21,21.6
