Energy_(eV)	Live_Counts
9550.0	6.66666667
9550.25	6.17283951
9550.5	4.44444444
9550.75	5.43209877
9551.0	3.45679012
9551.25	7.40740741
9551.5	5.67901235
9551.75	7.40740741
9552.0	4.9382716
9552.25	6.66666667
9552.5	6.91016782
9552.75	5.92592593
9553.0	6.66666667
9553.25	10.8641975
9553.5	6.66502098
9553.75	9.38503334
9554.0	6.91358025
9554.25	7.16226229
9554.5	10.617284
9554.75	7.16049383
9555.0	6.91358025
9555.25	10.1234568
9555.5	7.6524315
9555.75	7.89928413
9556.0	5.43209877
9556.25	8.39506173
9556.5	9.62962963
9556.75	9.38271605
9557.0	11.1083683
9557.25	8.88669464
9557.5	9.13354727
9557.75	9.13580247
9558.0	9.62962963
9558.25	11.1111111
9558.5	12.8395062
9558.75	11.1111111
9559.0	11.3580247
9559.25	13.3366263
9559.5	11.1138553
9559.75	14.5679012
9560.0	13.5802469
9560.25	13.5768946
9560.5	14.0740741
9560.75	19.0076524
9561.0	16.7942702
9561.25	16.7901235
9561.5	16.2962963
9561.75	20.2469136
9562.0	21.9753086
9562.25	20.9876543
9562.5	25.9259259
9562.75	27.1604938
9563.0	27.654321
9563.25	25.1914053
9563.5	24.6974562
9563.75	29.6296296
9564.0	33.8271605
9564.25	31.3580247
9564.5	33.5885404
9564.75	35.0703878
9565.0	40.4938272
9565.25	39.249568
9565.5	40.2568535
9565.75	47.88941
9566.0	45.4320988
9566.25	48.8888889
9566.5	53.5802469
9566.75	61.9753086
9567.0	53.0995307
9567.25	63.4567901
9567.5	63.4254689
9567.75	71.3580247
9568.0	86.1728395
9568.25	84.9592492
9568.5	93.6033589
9568.75	112.290227
9569.0	115.061728
9569.25	129.62963
9569.5	133.30042
9569.75	166.419753
9570.0	172.388244
9570.25	184.691358
9570.5	197.728956
9570.75	225.925926
9571.0	234.074074
9571.25	233.88491
9571.5	244.691358
9571.75	262.222222
9572.0	266.238577
9572.25	269.382716
9572.5	277.846382
9572.75	293.158805
9573.0	302.049889
9573.25	324.938272
9573.5	320.158103
9573.75	329.958014
9574.0	328.229192
9574.25	328.229192
9574.5	307.977278
9574.75	288.395062
9575.0	259.506173
9575.25	248.209434
9575.5	227.160494
9575.75	208.498024
9576.0	188.641975
9576.25	179.215009
9576.5	160.493827
9576.75	142.222222
9577.0	146.136756
9577.25	124.228204
9577.5	111.111111
9577.75	110.891578
9578.0	103.45679
9578.25	95.308642
9578.5	92.3228832
9578.75	86.9135802
9579.0	86.6452728
9579.25	75.308642
9579.5	74.0923685
9579.75	69.3655887
9580.0	59.0123457
9580.25	63.9506173
9580.5	53.3333333
9580.75	54.3075784
9581.0	42.7160494
9581.25	40.7407407
9581.5	44.1975309
9581.75	38.7654321
9582.0	34.3209877
9582.25	35.0617284
9582.5	33.0864198
9582.75	25.9259259
