1 m ZnCl2 0.5m NaCl, 3mm OD, 0.01mm thick quartz capillary
XES Long scans
35kV and 2.8mA
kbeta and vtc
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.38082055E+1	-1.30004000E+5	-1.07248000E+5	4.90000000E+1	1.82000000E+2	4.05000000E+0	4.05000000E+0	1.20987654E+1	3.75308642E+1	4.49382716E+1
9.55025000E+3	8.37949558E+1	-1.31163000E+5	-1.08409000E+5	5.40000000E+1	1.67000000E+2	4.05100000E+0	4.05100000E+0	1.33300420E+1	3.50530733E+1	4.12243890E+1
9.55050000E+3	8.37817338E+1	-1.32318000E+5	-1.09567000E+5	7.00000000E+1	2.10000000E+2	4.04900000E+0	4.04900000E+0	1.72882193E+1	4.19856755E+1	5.18646579E+1
9.55075000E+3	8.37685393E+1	-1.33472000E+5	-1.10723000E+5	5.80000000E+1	1.90000000E+2	4.04900000E+0	4.04900000E+0	1.43245246E+1	3.92689553E+1	4.69251667E+1
9.55100000E+3	8.37553722E+1	-1.34623000E+5	-1.11876000E+5	5.00000000E+1	1.87000000E+2	4.04900000E+0	4.05000000E+0	1.23456790E+1	3.72931588E+1	4.61842430E+1
9.55125000E+3	8.37422322E+1	-1.35771000E+5	-1.13026000E+5	6.70000000E+1	2.17000000E+2	4.05100000E+0	4.05100000E+0	1.65391261E+1	4.31992101E+1	5.35670205E+1
9.55150000E+3	8.37291192E+1	-1.36917000E+5	-1.14175000E+5	5.40000000E+1	1.85000000E+2	4.04800000E+0	4.04800000E+0	1.33399209E+1	3.63142292E+1	4.57015810E+1
9.55175000E+3	8.37160331E+1	-1.38060000E+5	-1.15320000E+5	5.10000000E+1	1.78000000E+2	4.05000000E+0	4.05100000E+0	1.25894841E+1	3.38271605E+1	4.39506173E+1
9.55200000E+3	8.37029737E+1	-1.39201000E+5	-1.16464000E+5	6.70000000E+1	1.82000000E+2	4.05000000E+0	4.05000000E+0	1.65432099E+1	3.77777778E+1	4.49382716E+1
9.55225000E+3	8.36899407E+1	-1.40340000E+5	-1.17605000E+5	5.80000000E+1	1.94000000E+2	4.05100000E+0	4.05200000E+0	1.43139191E+1	3.82621575E+1	4.78894100E+1
9.55250000E+3	8.36769342E+1	-1.41476000E+5	-1.18743000E+5	7.00000000E+1	1.85000000E+2	4.05000000E+0	4.05100000E+0	1.72796840E+1	3.72839506E+1	4.56790123E+1
9.55275000E+3	8.36639539E+1	-1.42609000E+5	-1.19879000E+5	5.30000000E+1	1.76000000E+2	4.05000000E+0	4.05000000E+0	1.30864198E+1	3.55555556E+1	4.34567901E+1
9.55300000E+3	8.36509996E+1	-1.43741000E+5	-1.21013000E+5	5.80000000E+1	1.98000000E+2	4.05100000E+0	4.05200000E+0	1.43139191E+1	3.92495680E+1	4.88768205E+1
9.55325000E+3	8.36380712E+1	-1.44869000E+5	-1.22144000E+5	5.50000000E+1	1.71000000E+2	4.04900000E+0	4.04900000E+0	1.35836009E+1	3.23536676E+1	4.22326500E+1
9.55350000E+3	8.36251686E+1	-1.45996000E+5	-1.23273000E+5	6.90000000E+1	1.95000000E+2	4.05200000E+0	4.05200000E+0	1.70286278E+1	3.80059230E+1	4.81243830E+1
9.55375000E+3	8.36122916E+1	-1.47120000E+5	-1.24399000E+5	5.90000000E+1	1.75000000E+2	4.05000000E+0	4.05000000E+0	1.45679012E+1	3.43209877E+1	4.32098765E+1
9.55400000E+3	8.35994401E+1	-1.48242000E+5	-1.25524000E+5	6.90000000E+1	1.87000000E+2	4.04900000E+0	4.05000000E+0	1.70370370E+1	3.85280316E+1	4.61842430E+1
9.55425000E+3	8.35866138E+1	-1.49361000E+5	-1.26645000E+5	7.30000000E+1	1.98000000E+2	4.05000000E+0	4.05000000E+0	1.80246914E+1	4.14814815E+1	4.88888889E+1
9.55450000E+3	8.35738128E+1	-1.50479000E+5	-1.27765000E+5	6.80000000E+1	1.90000000E+2	4.04900000E+0	4.05000000E+0	1.67901235E+1	3.65522351E+1	4.69251667E+1
9.55475000E+3	8.35610367E+1	-1.51594000E+5	-1.28882000E+5	9.50000000E+1	2.00000000E+2	4.04900000E+0	4.04900000E+0	2.34625834E+1	4.17387009E+1	4.93949123E+1
9.55500000E+3	8.35482855E+1	-1.52706000E+5	-1.29997000E+5	5.80000000E+1	1.70000000E+2	4.05000000E+0	4.05000000E+0	1.43209877E+1	3.23456790E+1	4.19753086E+1
9.55525000E+3	8.35355591E+1	-1.53816000E+5	-1.31110000E+5	6.70000000E+1	1.75000000E+2	4.04900000E+0	4.05000000E+0	1.65432099E+1	3.50703878E+1	4.32205483E+1
9.55550000E+3	8.35228572E+1	-1.54924000E+5	-1.32220000E+5	7.20000000E+1	1.76000000E+2	4.05000000E+0	4.05000000E+0	1.77777778E+1	3.62962963E+1	4.34567901E+1
9.55575000E+3	8.35101798E+1	-1.56030000E+5	-1.33328000E+5	6.70000000E+1	1.85000000E+2	4.05000000E+0	4.05000000E+0	1.65432099E+1	3.38271605E+1	4.56790123E+1
9.55600000E+3	8.34975267E+1	-1.57134000E+5	-1.34434000E+5	6.60000000E+1	1.80000000E+2	4.05000000E+0	4.05000000E+0	1.62962963E+1	3.67901235E+1	4.44444444E+1
9.55625000E+3	8.34848978E+1	-1.58235000E+5	-1.35538000E+5	8.00000000E+1	1.86000000E+2	4.04900000E+0	4.05000000E+0	1.97530864E+1	3.60582860E+1	4.59372685E+1
9.55650000E+3	8.34722930E+1	-1.59334000E+5	-1.36639000E+5	9.70000000E+1	2.17000000E+2	4.04900000E+0	4.05000000E+0	2.39506173E+1	4.34675228E+1	5.35934799E+1
9.55675000E+3	8.34597120E+1	-1.60431000E+5	-1.37739000E+5	7.70000000E+1	2.04000000E+2	4.05100000E+0	4.05100000E+0	1.90076524E+1	4.14712417E+1	5.03579363E+1
9.55700000E+3	8.34471549E+1	-1.61526000E+5	-1.38836000E+5	8.00000000E+1	2.20000000E+2	4.04900000E+0	4.04900000E+0	1.97579649E+1	4.05038281E+1	5.43344036E+1
9.55725000E+3	8.34346214E+1	-1.62618000E+5	-1.39931000E+5	7.90000000E+1	1.99000000E+2	4.05000000E+0	4.05000000E+0	1.95061728E+1	4.09876543E+1	4.91358025E+1
9.55750000E+3	8.34221114E+1	-1.63709000E+5	-1.41023000E+5	9.50000000E+1	2.25000000E+2	4.05000000E+0	4.05000000E+0	2.34567901E+1	4.64197531E+1	5.55555556E+1
9.55775000E+3	8.34096248E+1	-1.64797000E+5	-1.42114000E+5	8.20000000E+1	1.93000000E+2	4.05000000E+0	4.05000000E+0	2.02469136E+1	3.85185185E+1	4.76543210E+1
9.55800000E+3	8.33971614E+1	-1.65883000E+5	-1.43203000E+5	8.80000000E+1	1.94000000E+2	4.04900000E+0	4.04900000E+0	2.17337614E+1	4.00098790E+1	4.79130650E+1
9.55825000E+3	8.33847212E+1	-1.66967000E+5	-1.44289000E+5	9.90000000E+1	2.14000000E+2	4.05100000E+0	4.05100000E+0	2.44384103E+1	4.44334732E+1	5.28264626E+1
9.55850000E+3	8.33723040E+1	-1.68049000E+5	-1.45373000E+5	8.90000000E+1	2.05000000E+2	4.05000000E+0	4.05000000E+0	2.19753086E+1	4.00000000E+1	5.06172840E+1
9.55875000E+3	8.33599097E+1	-1.69129000E+5	-1.46455000E+5	9.20000000E+1	2.00000000E+2	4.04900000E+0	4.05000000E+0	2.27160494E+1	4.02568535E+1	4.93949123E+1
9.55900000E+3	8.33475382E+1	-1.70206000E+5	-1.47535000E+5	9.00000000E+1	1.92000000E+2	4.05000000E+0	4.05000000E+0	2.22222222E+1	3.87654321E+1	4.74074074E+1
9.55925000E+3	8.33351893E+1	-1.71282000E+5	-1.48613000E+5	1.00000000E+2	2.17000000E+2	4.05100000E+0	4.05100000E+0	2.46852629E+1	4.36929153E+1	5.35670205E+1
9.55950000E+3	8.33228629E+1	-1.72355000E+5	-1.49689000E+5	9.90000000E+1	2.02000000E+2	4.05100000E+0	4.05100000E+0	2.44384103E+1	4.34460627E+1	4.98642311E+1
9.55975000E+3	8.33105589E+1	-1.73427000E+5	-1.50763000E+5	9.70000000E+1	2.02000000E+2	4.05000000E+0	4.05000000E+0	2.39506173E+1	4.14814815E+1	4.98765432E+1
9.56000000E+3	8.32982772E+1	-1.74496000E+5	-1.51834000E+5	1.03000000E+2	2.19000000E+2	4.05000000E+0	4.05000000E+0	2.54320988E+1	4.41975309E+1	5.40740741E+1
9.56025000E+3	8.32860176E+1	-1.75563000E+5	-1.52904000E+5	1.21000000E+2	2.24000000E+2	4.05000000E+0	4.05000000E+0	2.98765432E+1	4.86419753E+1	5.53086420E+1
9.56050000E+3	8.32737801E+1	-1.76629000E+5	-1.53972000E+5	1.15000000E+2	2.25000000E+2	4.05000000E+0	4.05000000E+0	2.83950617E+1	4.79012346E+1	5.55555556E+1
9.56075000E+3	8.32615646E+1	-1.77692000E+5	-1.55037000E+5	1.45000000E+2	2.50000000E+2	4.05100000E+0	4.05100000E+0	3.57936312E+1	5.23327573E+1	6.17131572E+1
9.56100000E+3	8.32493708E+1	-1.78753000E+5	-1.56101000E+5	1.13000000E+2	2.11000000E+2	4.05000000E+0	4.05000000E+0	2.79012346E+1	4.39506173E+1	5.20987654E+1
9.56125000E+3	8.32371988E+1	-1.79812000E+5	-1.57162000E+5	1.32000000E+2	2.38000000E+2	4.05000000E+0	4.05000000E+0	3.25925926E+1	4.86419753E+1	5.87654321E+1
9.56150000E+3	8.32250483E+1	-1.80870000E+5	-1.58222000E+5	1.34000000E+2	2.39000000E+2	4.04900000E+0	4.04900000E+0	3.30945913E+1	4.91479378E+1	5.90269202E+1
9.56175000E+3	8.32129193E+1	-1.81925000E+5	-1.59280000E+5	1.59000000E+2	2.77000000E+2	4.05100000E+0	4.05100000E+0	3.92495680E+1	5.85040731E+1	6.83781782E+1
9.56200000E+3	8.32008117E+1	-1.82978000E+5	-1.60335000E+5	1.33000000E+2	2.41000000E+2	4.05000000E+0	4.05100000E+0	3.28313997E+1	4.91358025E+1	5.95061728E+1
9.56225000E+3	8.31887254E+1	-1.84030000E+5	-1.61389000E+5	1.66000000E+2	2.70000000E+2	4.04900000E+0	4.04900000E+0	4.09977772E+1	5.65571746E+1	6.66831316E+1
9.56250000E+3	8.31766602E+1	-1.85079000E+5	-1.62441000E+5	1.96000000E+2	2.99000000E+2	4.04900000E+0	4.04900000E+0	4.84070141E+1	6.81649790E+1	7.38453939E+1
9.56275000E+3	8.31646160E+1	-1.86126000E+5	-1.63491000E+5	2.00000000E+2	3.21000000E+2	4.05000000E+0	4.05000000E+0	4.93827160E+1	6.83950617E+1	7.92592593E+1
9.56300000E+3	8.31525928E+1	-1.87172000E+5	-1.64538000E+5	1.91000000E+2	2.86000000E+2	4.05000000E+0	4.05000000E+0	4.71604938E+1	6.17283951E+1	7.06172840E+1
9.56325000E+3	8.31405903E+1	-1.88215000E+5	-1.65584000E+5	1.79000000E+2	2.77000000E+2	4.05000000E+0	4.05000000E+0	4.41975309E+1	6.12345679E+1	6.83950617E+1
9.56350000E+3	8.31286087E+1	-1.89257000E+5	-1.66628000E+5	1.96000000E+2	2.93000000E+2	4.05000000E+0	4.05000000E+0	4.83950617E+1	6.09876543E+1	7.23456790E+1
9.56375000E+3	8.31166476E+1	-1.90297000E+5	-1.67671000E+5	1.96000000E+2	3.00000000E+2	4.04900000E+0	4.05000000E+0	4.83950617E+1	6.56952334E+1	7.40923685E+1
9.56400000E+3	8.31047071E+1	-1.91335000E+5	-1.68711000E+5	2.15000000E+2	3.16000000E+2	4.04900000E+0	4.05000000E+0	5.30864198E+1	6.79180044E+1	7.80439615E+1
9.56425000E+3	8.30927869E+1	-1.92371000E+5	-1.69749000E+5	2.62000000E+2	3.69000000E+2	4.05000000E+0	4.05000000E+0	6.46913580E+1	8.09876543E+1	9.11111111E+1
9.56450000E+3	8.30808871E+1	-1.93405000E+5	-1.70786000E+5	2.20000000E+2	2.93000000E+2	4.05200000E+0	4.05200000E+0	5.42941757E+1	6.51530109E+1	7.23099704E+1
9.56475000E+3	8.30690075E+1	-1.94437000E+5	-1.71820000E+5	2.88000000E+2	3.94000000E+2	4.05000000E+0	4.05000000E+0	7.11111111E+1	8.91358025E+1	9.72839506E+1
9.56500000E+3	8.30571480E+1	-1.95468000E+5	-1.72853000E+5	2.85000000E+2	3.98000000E+2	4.05000000E+0	4.05100000E+0	7.03529993E+1	8.86419753E+1	9.82716049E+1
9.56525000E+3	8.30453085E+1	-1.96496000E+5	-1.73884000E+5	3.20000000E+2	4.41000000E+2	4.04900000E+0	4.04900000E+0	7.90318597E+1	9.78019264E+1	1.08915782E+2
9.56550000E+3	8.30334889E+1	-1.97523000E+5	-1.74913000E+5	3.03000000E+2	4.07000000E+2	4.05000000E+0	4.05000000E+0	7.48148148E+1	9.18518519E+1	1.00493827E+2
9.56575000E+3	8.30216891E+1	-1.98548000E+5	-1.75940000E+5	3.12000000E+2	4.32000000E+2	4.05000000E+0	4.05000000E+0	7.70370370E+1	9.48148148E+1	1.06666667E+2
9.56600000E+3	8.30099091E+1	-1.99571000E+5	-1.76966000E+5	3.62000000E+2	4.64000000E+2	4.04900000E+0	4.04900000E+0	8.94047913E+1	1.05705112E+2	1.14596197E+2
