Energy_(eV)	Live_Counts
9550.0	4.2
9550.25	4.44
9550.5	4.69
9550.75	3.46
9551.0	5.43
9551.25	4.69
9551.5	3.7
9551.75	3.95
9552.0	6.67
9552.25	5.93
9552.5	6.17
9552.75	4.2
9553.0	5.43
9553.25	7.16
9553.5	5.43
9553.75	6.42
9554.0	5.43
9554.25	6.92
9554.5	5.93
9554.75	6.67
9555.0	5.93
9555.25	4.94
9555.5	8.64
9555.75	7.16
9556.0	7.41
9556.25	8.15
9556.5	7.16
9556.75	6.42
9557.0	8.15
9557.25	5.93
9557.5	8.64
9557.75	7.41
9558.0	9.14
9558.25	10.9
9558.5	9.13
9558.75	11.4
9559.0	11.4
9559.25	10.4
9559.5	9.38
9559.75	8.4
9560.0	11.1
9560.25	12.8
9560.5	11.9
9560.75	12.1
9561.0	12.6
9561.25	13.6
9561.5	15.8
9561.75	13.6
9562.0	18.5
9562.25	15.8
9562.5	21.5
9562.75	19.3
9563.0	23.0
9563.25	25.7
9563.5	26.7
9563.75	19.3
9564.0	31.4
9564.25	32.1
9564.5	25.7
9564.75	31.9
9565.0	36.3
9565.25	26.7
9565.5	37.0
9565.75	39.0
9566.0	45.7
9566.25	38.0
9566.5	41.7
9566.75	49.9
9567.0	43.5
9567.25	54.3
9567.5	54.6
9567.75	54.3
9568.0	64.2
9568.25	72.1
9568.5	70.4
9568.75	71.1
9569.0	91.4
9569.25	93.1
9569.5	110.0
9569.75	127.0
9570.0	146.0
9570.25	144.0
9570.5	163.0
9570.75	164.0
9571.0	197.0
9571.25	199.0
9571.5	203.0
9571.75	221.0
9572.0	233.0
9572.25	248.0
9572.5	245.0
9572.75	244.0
9573.0	266.0
9573.25	277.0
9573.5	287.0
9573.75	295.0
9574.0	301.0
9574.25	313.0
9574.5	304.0
9574.75	289.0
9575.0	266.0
9575.25	252.0
9575.5	231.0
9575.75	211.0
9576.0	209.0
9576.25	178.0
9576.5	155.0
9576.75	148.0
9577.0	133.0
9577.25	127.0
9577.5	112.0
9577.75	106.0
9578.0	94.8
9578.25	91.6
9578.5	97.3
9578.75	83.7
9579.0	85.1
9579.25	69.9
9579.5	78.8
9579.75	66.9
9580.0	59.0
9580.25	57.0
9580.5	58.3
9580.75	50.1
9581.0	46.4
9581.25	44.0
9581.5	44.0
9581.75	37.3
9582.0	32.6
9582.25	29.4
9582.5	30.4
9582.75	28.6
9583.0	26.7
9583.25	23.2
9583.5	27.6
9583.75	28.6
9584.0	23.9
9584.25	21.0
9584.5	20.0
