Energy_(eV)	Live_Counts
9550.0	4.742000000000001
9550.25	4.248
9550.5	4.742
9550.75	4.888
9551.0	4.148000000000001
9551.25	5.0840000000000005
9551.5	4.542
9551.75	5.8759999999999994
9552.0	5.63
9552.25	4.792
9552.5	5.086
9552.75	4.394
9553.0	5.086
9553.25	6.074
9553.5	5.234
9553.75	5.828
9554.0	4.888
9554.25	6.664
9554.5	5.234
9554.75	5.48
9555.0	6.0760000000000005
9555.25	5.68
9555.5	6.418000000000001
9555.75	6.616
9556.0	6.714
9556.25	7.01
9556.5	7.651999999999999
9556.75	6.566
9557.0	7.852000000000001
9557.25	9.296000000000001
9557.5	7.702
9557.75	7.702
9558.0	8.848
9558.25	7.952000000000001
9558.5	8.994
9558.75	8.842000000000002
9559.0	8.75
9559.25	9.290000000000001
9559.5	12.1
9559.75	9.978
9560.0	11.554
9560.25	10.714000000000002
9560.5	12.02
9560.75	14.14
9561.0	13.3
9561.25	14.360000000000003
9561.5	14.66
9561.75	14.319999999999999
9562.0	16.740000000000002
9562.25	17.14
9562.5	18.96
9562.75	20.84
9563.0	20.380000000000003
9563.25	20.7
9563.5	23.98
9563.75	23.259999999999998
9564.0	24.419999999999998
9564.25	27.560000000000002
9564.5	29.060000000000002
9564.75	29.140000000000004
9565.0	31.1
9565.25	32.0
9565.5	35.0
9565.75	37.04
9566.0	40.64
9566.25	42.12
9566.5	42.1
9566.75	44.3
9567.0	47.14
9567.25	50.900000000000006
9567.5	55.8
9567.75	57.5
9568.0	57.54
9568.25	67.28
9568.5	68.6
9568.75	79.14000000000001
9569.0	84.52
9569.25	94.0
9569.5	101.42
9569.75	117.8
9570.0	130.2
9570.25	136.6
9570.5	151.0
9570.75	171.2
9571.0	175.0
9571.25	197.6
9571.5	201.0
9571.75	214.6
9572.0	217.0
9572.25	225.2
9572.5	236.2
9572.75	241.2
9573.0	248.4
9573.25	260.4
9573.5	271.4
9573.75	285.8
9574.0	285.2
9574.25	286.8
9574.5	296.4
9574.75	279.4
9575.0	268.2
9575.25	250.4
9575.5	234.8
9575.75	213.6
9576.0	191.2
9576.25	179.0
9576.5	155.2
9576.75	143.4
9577.0	130.6
9577.25	120.4
9577.5	108.0
9577.75	106.2
9578.0	99.67999999999999
9578.25	96.24000000000001
9578.5	91.02000000000001
9578.75	83.03999999999999
9579.0	75.29999999999998
9579.25	77.4
9579.5	67.84
9579.75	65.89999999999999
9580.0	60.879999999999995
9580.25	54.14
9580.5	51.760000000000005
9580.75	46.78000000000001
9581.0	45.720000000000006
9581.25	40.4
9581.5	37.32000000000001
9581.75	35.8
9582.0	33.74
9582.25	32.620000000000005
9582.5	31.4
9582.75	30.32
9583.0	26.78
9583.25	26.96
9583.5	22.080000000000002
9583.75	22.34
9584.0	19.32
9584.25	19.4
9584.5	18.84
9584.75	19.44
9585.0	15.3
9585.25	16.54
9585.5	14.02
9585.75	14.02
9586.0	13.479999999999999
9586.25	12.379999999999999
9586.5	12.058
9586.75	12.040000000000001
9587.0	10.716000000000001
9587.25	10.266
9587.5	10.081999999999999
9587.75	10.146
9588.0	9.096
9588.25	8.982000000000001
9588.5	8.242
9588.75	7.656000000000001
9589.0	8.246
9589.25	8.748000000000001
9589.5	7.156000000000001
9589.75	7.06
9590.0	6.715999999999999
9590.25	7.26
9590.5	4.890000000000001
9590.75	6.912000000000001
9591.0	5.433999999999999
9591.25	6.074000000000001
9591.5	4.890000000000001
9591.75	5.286
9592.0	4.248
9592.25	4.593999999999999
9592.5	5.0840000000000005
9592.75	4.938000000000001
9593.0	4.642
9593.25	3.5540000000000007
9593.5	4.790000000000001
9593.75	4.5920000000000005
9594.0	4.000000000000001
9594.25	3.7520000000000002
9594.5	3.0120000000000005
9594.75	3.21
9595.0	3.85
9595.25	3.2600000000000002
9595.5	2.8140000000000005
9595.75	3.4579999999999997
9596.0	2.716
9596.25	3.2600000000000002
9596.5	2.914
9596.75	2.222
9597.0	2.6660000000000004
9597.25	2.6659999999999995
9597.5	2.8160000000000003
9597.75	2.37
9598.0	2.3200000000000003
9598.25	2.716
