"Zn k beta 1m ZnCl2 + 0.5m NaCl, at room temp, no fan"										
slit = 0.5										
In temp. stage with PEEK tube ID 1.4mm										
"Ge555, Pd target"										
35kV 2.5 mA										
det offset = +0.195										
***************************										
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9550	8.37E+01	-1.30E+05	-1.13E+05	2.10E+01	7.00E+01	4.05E+00	4.05E+00	5.19E+00	5.93E+00	1.73E+01
9550.25	8.37E+01	-1.31E+05	-1.14E+05	9.00E+00	4.80E+01	4.05E+00	4.05E+00	2.22E+00	3.95E+00	1.19E+01
9550.5	8.37E+01	-1.32E+05	-1.15E+05	2.20E+01	5.80E+01	4.05E+00	4.05E+00	5.43E+00	6.42E+00	1.43E+01
9550.75	8.37E+01	-1.33E+05	-1.16E+05	2.10E+01	6.60E+01	4.05E+00	4.05E+00	5.19E+00	6.67E+00	1.63E+01
9551	8.37E+01	-1.35E+05	-1.18E+05	1.80E+01	5.80E+01	4.05E+00	4.05E+00	4.44E+00	5.93E+00	1.43E+01
9551.25	8.37E+01	-1.36E+05	-1.19E+05	2.20E+01	7.10E+01	4.05E+00	4.05E+00	5.43E+00	7.90E+00	1.75E+01
9551.5	8.37E+01	-1.37E+05	-1.20E+05	1.30E+01	6.30E+01	4.05E+00	4.05E+00	3.21E+00	4.69E+00	1.56E+01
9551.75	8.37E+01	-1.38E+05	-1.21E+05	2.00E+01	5.20E+01	4.05E+00	4.05E+00	4.94E+00	5.43E+00	1.28E+01
9552	8.36E+01	-1.39E+05	-1.22E+05	1.70E+01	7.10E+01	4.05E+00	4.05E+00	4.20E+00	7.41E+00	1.75E+01
9552.25	8.36E+01	-1.40E+05	-1.23E+05	1.40E+01	4.70E+01	4.05E+00	4.05E+00	3.46E+00	4.94E+00	1.16E+01
9552.5	8.36E+01	-1.41E+05	-1.24E+05	2.00E+01	6.20E+01	4.05E+00	4.05E+00	4.94E+00	6.92E+00	1.53E+01
9552.75	8.36E+01	-1.43E+05	-1.26E+05	1.90E+01	6.10E+01	4.05E+00	4.05E+00	4.69E+00	5.93E+00	1.51E+01
9553	8.36E+01	-1.44E+05	-1.27E+05	1.50E+01	5.10E+01	4.05E+00	4.05E+00	3.70E+00	5.43E+00	1.26E+01
9553.25	8.36E+01	-1.45E+05	-1.28E+05	2.40E+01	6.50E+01	4.05E+00	4.05E+00	5.92E+00	8.15E+00	1.60E+01
9553.5	8.36E+01	-1.46E+05	-1.29E+05	2.20E+01	6.80E+01	4.05E+00	4.05E+00	5.43E+00	7.16E+00	1.68E+01
9553.75	8.35E+01	-1.47E+05	-1.30E+05	1.90E+01	7.30E+01	4.05E+00	4.05E+00	4.69E+00	7.41E+00	1.80E+01
9554	8.35E+01	-1.48E+05	-1.31E+05	1.90E+01	6.50E+01	4.05E+00	4.05E+00	4.69E+00	6.42E+00	1.60E+01
9554.25	8.35E+01	-1.49E+05	-1.32E+05	3.50E+01	7.80E+01	4.05E+00	4.05E+00	8.64E+00	9.63E+00	1.93E+01
9554.5	8.35E+01	-1.50E+05	-1.33E+05	1.90E+01	5.40E+01	4.05E+00	4.05E+00	4.69E+00	5.43E+00	1.33E+01
9554.75	8.35E+01	-1.52E+05	-1.35E+05	2.90E+01	7.50E+01	4.05E+00	4.05E+00	7.16E+00	8.89E+00	1.85E+01
9555	8.35E+01	-1.53E+05	-1.36E+05	2.80E+01	6.80E+01	4.05E+00	4.05E+00	6.92E+00	8.89E+00	1.68E+01
9555.25	8.35E+01	-1.54E+05	-1.37E+05	2.70E+01	7.00E+01	4.05E+00	4.05E+00	6.67E+00	8.40E+00	1.73E+01
9555.5	8.35E+01	-1.55E+05	-1.38E+05	2.60E+01	8.80E+01	4.05E+00	4.05E+00	6.42E+00	8.40E+00	2.17E+01
9555.75	8.34E+01	-1.56E+05	-1.39E+05	2.90E+01	7.00E+01	4.05E+00	4.05E+00	7.16E+00	8.64E+00	1.73E+01
9556	8.34E+01	-1.57E+05	-1.40E+05	3.20E+01	7.10E+01	4.05E+00	4.05E+00	7.90E+00	9.14E+00	1.75E+01
9556.25	8.34E+01	-1.58E+05	-1.41E+05	3.10E+01	7.40E+01	4.05E+00	4.05E+00	7.65E+00	8.40E+00	1.83E+01
9556.5	8.34E+01	-1.59E+05	-1.42E+05	3.20E+01	7.40E+01	4.05E+00	4.05E+00	7.90E+00	8.40E+00	1.83E+01
9556.75	8.34E+01	-1.60E+05	-1.43E+05	1.70E+01	5.20E+01	4.05E+00	4.05E+00	4.20E+00	4.94E+00	1.28E+01
9557	8.34E+01	-1.62E+05	-1.45E+05	2.60E+01	7.00E+01	4.05E+00	4.05E+00	6.42E+00	7.16E+00	1.73E+01
9557.25	8.34E+01	-1.63E+05	-1.46E+05	3.30E+01	8.40E+01	4.05E+00	4.05E+00	8.15E+00	1.04E+01	2.07E+01
9557.5	8.34E+01	-1.64E+05	-1.47E+05	3.50E+01	7.70E+01	4.05E+00	4.05E+00	8.64E+00	9.63E+00	1.90E+01
9557.75	8.33E+01	-1.65E+05	-1.48E+05	4.30E+01	8.30E+01	4.05E+00	4.05E+00	1.06E+01	1.21E+01	2.05E+01
9558	8.33E+01	-1.66E+05	-1.49E+05	3.70E+01	8.20E+01	4.05E+00	4.05E+00	9.14E+00	1.19E+01	2.03E+01
9558.25	8.33E+01	-1.67E+05	-1.50E+05	3.60E+01	7.90E+01	4.05E+00	4.05E+00	8.89E+00	1.06E+01	1.95E+01
9558.5	8.33E+01	-1.68E+05	-1.51E+05	3.50E+01	6.80E+01	4.05E+00	4.05E+00	8.64E+00	1.01E+01	1.68E+01
9558.75	8.33E+01	-1.69E+05	-1.52E+05	3.90E+01	7.50E+01	4.05E+00	4.05E+00	9.63E+00	1.11E+01	1.85E+01
9559	8.33E+01	-1.70E+05	-1.53E+05	4.60E+01	8.30E+01	4.05E+00	4.05E+00	1.14E+01	1.28E+01	2.05E+01
9559.25	8.33E+01	-1.71E+05	-1.54E+05	3.50E+01	7.30E+01	4.05E+00	4.05E+00	8.64E+00	1.19E+01	1.80E+01
9559.5	8.33E+01	-1.72E+05	-1.55E+05	4.40E+01	9.00E+01	4.05E+00	4.05E+00	1.09E+01	1.19E+01	2.22E+01
9559.75	8.32E+01	-1.73E+05	-1.56E+05	3.10E+01	7.10E+01	4.05E+00	4.05E+00	7.66E+00	8.89E+00	1.75E+01
9560	8.32E+01	-1.74E+05	-1.58E+05	5.30E+01	8.20E+01	4.05E+00	4.05E+00	1.31E+01	1.36E+01	2.02E+01
9560.25	8.32E+01	-1.76E+05	-1.59E+05	3.80E+01	8.40E+01	4.05E+00	4.05E+00	9.39E+00	1.09E+01	2.08E+01
9560.5	8.32E+01	-1.77E+05	-1.60E+05	4.80E+01	8.80E+01	4.05E+00	4.05E+00	1.19E+01	1.26E+01	2.17E+01
9560.75	8.32E+01	-1.78E+05	-1.61E+05	6.20E+01	9.80E+01	4.05E+00	4.05E+00	1.53E+01	1.65E+01	2.42E+01
9561	8.32E+01	-1.79E+05	-1.62E+05	4.80E+01	8.20E+01	4.05E+00	4.05E+00	1.19E+01	1.33E+01	2.02E+01
9561.25	8.32E+01	-1.80E+05	-1.63E+05	6.00E+01	9.20E+01	4.05E+00	4.05E+00	1.48E+01	1.65E+01	2.27E+01
9561.5	8.32E+01	-1.81E+05	-1.64E+05	6.50E+01	1.08E+02	4.05E+00	4.05E+00	1.60E+01	1.80E+01	2.67E+01
9561.75	8.31E+01	-1.82E+05	-1.65E+05	6.50E+01	1.06E+02	4.05E+00	4.05E+00	1.60E+01	1.75E+01	2.62E+01
9562	8.31E+01	-1.83E+05	-1.66E+05	6.50E+01	1.13E+02	4.05E+00	4.05E+00	1.60E+01	1.70E+01	2.79E+01
9562.25	8.31E+01	-1.84E+05	-1.67E+05	6.80E+01	1.09E+02	4.05E+00	4.05E+00	1.68E+01	1.83E+01	2.69E+01
9562.5	8.31E+01	-1.85E+05	-1.68E+05	7.10E+01	1.22E+02	4.05E+00	4.05E+00	1.75E+01	1.90E+01	3.01E+01
9562.75	8.31E+01	-1.86E+05	-1.69E+05	8.30E+01	1.26E+02	4.05E+00	4.05E+00	2.05E+01	2.22E+01	3.11E+01
9563	8.31E+01	-1.87E+05	-1.70E+05	7.10E+01	1.08E+02	4.05E+00	4.05E+00	1.75E+01	1.90E+01	2.67E+01
9563.25	8.31E+01	-1.88E+05	-1.71E+05	9.50E+01	1.28E+02	4.05E+00	4.05E+00	2.34E+01	2.49E+01	3.16E+01
9563.5	8.31E+01	-1.89E+05	-1.72E+05	1.03E+02	1.43E+02	4.05E+00	4.05E+00	2.54E+01	2.64E+01	3.53E+01
9563.75	8.31E+01	-1.90E+05	-1.73E+05	9.00E+01	1.29E+02	4.05E+00	4.05E+00	2.22E+01	2.44E+01	3.19E+01
9564	8.30E+01	-1.91E+05	-1.74E+05	1.01E+02	1.42E+02	4.05E+00	4.05E+00	2.49E+01	2.72E+01	3.51E+01
9564.25	8.30E+01	-1.92E+05	-1.75E+05	1.07E+02	1.47E+02	4.05E+00	4.05E+00	2.64E+01	2.84E+01	3.63E+01
9564.5	8.30E+01	-1.93E+05	-1.76E+05	1.29E+02	1.68E+02	4.05E+00	4.05E+00	3.18E+01	3.28E+01	4.15E+01
9564.75	8.30E+01	-1.94E+05	-1.77E+05	1.29E+02	1.83E+02	4.05E+00	4.05E+00	3.19E+01	3.38E+01	4.52E+01
9565	8.30E+01	-1.95E+05	-1.79E+05	1.23E+02	1.64E+02	4.05E+00	4.05E+00	3.04E+01	3.19E+01	4.05E+01
9565.25	8.30E+01	-1.96E+05	-1.80E+05	1.25E+02	1.74E+02	4.05E+00	4.05E+00	3.09E+01	3.31E+01	4.30E+01
9565.5	8.30E+01	-1.98E+05	-1.81E+05	1.54E+02	1.98E+02	4.05E+00	4.05E+00	3.80E+01	4.10E+01	4.89E+01
9565.75	8.30E+01	-1.99E+05	-1.82E+05	1.31E+02	1.66E+02	4.05E+00	4.05E+00	3.23E+01	3.28E+01	4.10E+01
9566	8.29E+01	-2.00E+05	-1.83E+05	1.77E+02	2.26E+02	4.05E+00	4.05E+00	4.37E+01	4.49E+01	5.58E+01
9566.25	8.29E+01	-2.01E+05	-1.84E+05	1.98E+02	2.43E+02	4.05E+00	4.05E+00	4.89E+01	5.16E+01	6.00E+01
9566.5	8.29E+01	-2.02E+05	-1.85E+05	1.78E+02	2.23E+02	4.05E+00	4.05E+00	4.40E+01	4.52E+01	5.51E+01
9566.75	8.29E+01	-2.03E+05	-1.86E+05	1.70E+02	2.20E+02	4.05E+00	4.05E+00	4.20E+01	4.42E+01	5.43E+01
9567	8.29E+01	-2.04E+05	-1.87E+05	1.81E+02	2.31E+02	4.05E+00	4.05E+00	4.47E+01	4.67E+01	5.71E+01
9567.25	8.29E+01	-2.05E+05	-1.88E+05	2.00E+02	2.57E+02	4.05E+00	4.05E+00	4.94E+01	5.19E+01	6.35E+01
9567.5	8.29E+01	-2.06E+05	-1.89E+05	2.37E+02	2.83E+02	4.05E+00	4.05E+00	5.85E+01	6.10E+01	6.99E+01
9567.75	8.29E+01	-2.07E+05	-1.90E+05	2.36E+02	2.74E+02	4.05E+00	4.05E+00	5.83E+01	6.05E+01	6.77E+01
9568	8.29E+01	-2.08E+05	-1.91E+05	2.30E+02	2.66E+02	4.05E+00	4.05E+00	5.68E+01	5.85E+01	6.57E+01
9568.25	8.28E+01	-2.09E+05	-1.92E+05	2.61E+02	3.06E+02	4.05E+00	4.05E+00	6.45E+01	6.72E+01	7.56E+01
9568.5	8.28E+01	-2.10E+05	-1.93E+05	2.98E+02	3.37E+02	4.05E+00	4.05E+00	7.36E+01	7.55E+01	8.32E+01
9568.75	8.28E+01	-2.11E+05	-1.94E+05	3.26E+02	3.63E+02	4.05E+00	4.05E+00	8.05E+01	8.25E+01	8.96E+01
9569	8.28E+01	-2.12E+05	-1.95E+05	3.35E+02	3.79E+02	4.05E+00	4.05E+00	8.27E+01	8.54E+01	9.36E+01
9569.25	8.28E+01	-2.13E+05	-1.96E+05	3.78E+02	4.09E+02	4.05E+00	4.05E+00	9.34E+01	9.53E+01	1.01E+02
9569.5	8.28E+01	-2.14E+05	-1.97E+05	4.01E+02	4.47E+02	4.05E+00	4.05E+00	9.90E+01	1.02E+02	1.10E+02
9569.75	8.28E+01	-2.15E+05	-1.98E+05	4.89E+02	5.51E+02	4.05E+00	4.05E+00	1.21E+02	1.24E+02	1.36E+02
9570	8.28E+01	-2.16E+05	-1.99E+05	5.21E+02	5.57E+02	4.05E+00	4.05E+00	1.29E+02	1.31E+02	1.38E+02
9570.25	8.27E+01	-2.17E+05	-2.00E+05	5.27E+02	5.74E+02	4.05E+00	4.05E+00	1.30E+02	1.32E+02	1.42E+02
9570.5	8.27E+01	-2.18E+05	-2.01E+05	6.01E+02	6.51E+02	4.05E+00	4.05E+00	1.48E+02	1.51E+02	1.61E+02
9570.75	8.27E+01	-2.19E+05	-2.02E+05	6.70E+02	7.11E+02	4.05E+00	4.05E+00	1.65E+02	1.67E+02	1.76E+02
9571	8.27E+01	-2.20E+05	-2.03E+05	7.05E+02	7.43E+02	4.05E+00	4.05E+00	1.74E+02	1.76E+02	1.83E+02
9571.25	8.27E+01	-2.21E+05	-2.04E+05	8.36E+02	8.78E+02	4.05E+00	4.05E+00	2.06E+02	2.08E+02	2.17E+02
9571.5	8.27E+01	-2.22E+05	-2.05E+05	7.74E+02	8.18E+02	4.05E+00	4.05E+00	1.91E+02	1.95E+02	2.02E+02
9571.75	8.27E+01	-2.23E+05	-2.06E+05	8.62E+02	9.06E+02	4.05E+00	4.05E+00	2.13E+02	2.16E+02	2.24E+02
9572	8.27E+01	-2.24E+05	-2.07E+05	8.82E+02	9.26E+02	4.05E+00	4.05E+00	2.18E+02	2.20E+02	2.29E+02
9572.25	8.27E+01	-2.25E+05	-2.08E+05	8.75E+02	9.20E+02	4.05E+00	4.05E+00	2.16E+02	2.19E+02	2.27E+02
9572.5	8.26E+01	-2.26E+05	-2.09E+05	9.86E+02	1.03E+03	4.05E+00	4.05E+00	2.44E+02	2.46E+02	2.54E+02
9572.75	8.26E+01	-2.27E+05	-2.10E+05	1.02E+03	1.07E+03	4.05E+00	4.05E+00	2.51E+02	2.54E+02	2.63E+02
9573	8.26E+01	-2.28E+05	-2.11E+05	9.78E+02	1.03E+03	4.05E+00	4.05E+00	2.42E+02	2.44E+02	2.54E+02
9573.25	8.26E+01	-2.28E+05	-2.12E+05	1.06E+03	1.11E+03	4.05E+00	4.05E+00	2.62E+02	2.65E+02	2.74E+02
9573.5	8.26E+01	-2.29E+05	-2.13E+05	1.10E+03	1.14E+03	4.05E+00	4.05E+00	2.72E+02	2.76E+02	2.81E+02
9573.75	8.26E+01	-2.30E+05	-2.14E+05	1.09E+03	1.14E+03	4.05E+00	4.05E+00	2.69E+02	2.73E+02	2.81E+02
9574	8.26E+01	-2.31E+05	-2.15E+05	1.19E+03	1.24E+03	4.05E+00	4.05E+00	2.94E+02	3.00E+02	3.06E+02
9574.25	8.26E+01	-2.32E+05	-2.15E+05	1.22E+03	1.27E+03	4.05E+00	4.05E+00	3.01E+02	3.06E+02	3.13E+02
9574.5	8.26E+01	-2.33E+05	-2.16E+05	1.19E+03	1.25E+03	4.05E+00	4.05E+00	2.94E+02	2.99E+02	3.08E+02
9574.75	8.25E+01	-2.34E+05	-2.17E+05	1.08E+03	1.13E+03	4.05E+00	4.05E+00	2.67E+02	2.72E+02	2.79E+02
