0.1m ZnCl2 in capillary, redone for longer time
k beta - VTC XES
Pd X-ray tube.  At 35 kV and 2.8 mA.  Ge 555 optic. 
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.39082055E+1	-1.30004000E+5	-9.84830000E+4	4.30000000E+1	5.11100000E+3	6.04900000E+0	6.04600000E+0	7.11214026E+0	7.96329972E+2	8.44933047E+2
9.55025000E+3	8.38949558E+1	-1.31163000E+5	-9.96450000E+4	2.80000000E+1	5.32100000E+3	6.05100000E+0	6.04800000E+0	4.62962963E+0	8.27631796E+2	8.79358784E+2
9.55050000E+3	8.38817338E+1	-1.32318000E+5	-1.00804000E+5	4.10000000E+1	5.38900000E+3	6.04900000E+0	6.04600000E+0	6.78134304E+0	8.37659117E+2	8.90891056E+2
9.55075000E+3	8.38685393E+1	-1.33472000E+5	-1.01961000E+5	3.50000000E+1	5.16500000E+3	6.05000000E+0	6.04600000E+0	5.78895137E+0	7.95537190E+2	8.53719008E+2
9.55100000E+3	8.38553722E+1	-1.34623000E+5	-1.03115000E+5	4.70000000E+1	5.33300000E+3	6.04900000E+0	6.04600000E+0	7.77373470E+0	8.31211771E+2	8.81633328E+2
9.55125000E+3	8.38422322E+1	-1.35771000E+5	-1.04266000E+5	4.20000000E+1	5.31500000E+3	6.05000000E+0	6.04700000E+0	6.94559286E+0	8.28925620E+2	8.78512397E+2
9.55150000E+3	8.38291192E+1	-1.36917000E+5	-1.05415000E+5	5.20000000E+1	5.22600000E+3	6.04900000E+0	6.04600000E+0	8.60072775E+0	8.11043148E+2	8.63944454E+2
9.55175000E+3	8.38160331E+1	-1.38060000E+5	-1.06562000E+5	4.40000000E+1	5.30000000E+3	6.05000000E+0	6.04700000E+0	7.27633537E+0	8.28595041E+2	8.76033058E+2
9.55200000E+3	8.38029737E+1	-1.39201000E+5	-1.07706000E+5	3.50000000E+1	5.45900000E+3	6.04900000E+0	6.04600000E+0	5.78895137E+0	8.48570012E+2	9.02463217E+2
9.55225000E+3	8.37899407E+1	-1.40340000E+5	-1.08848000E+5	4.30000000E+1	5.45900000E+3	6.05000000E+0	6.04600000E+0	7.11214026E+0	8.50743802E+2	9.02314050E+2
