1m ZnCl2 + 10m LiCl, 3mm OD, 0.01mm thick quartz capillary
XES Long scans
35kV and 2.8mA
kbeta and vtc
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.38082055E+1	-1.30004000E+5	-1.07248000E+5	2.50000000E+1	1.47000000E+2	4.05000000E+0	4.05000000E+0	6.17283951E+0	2.51851852E+1	3.62962963E+1
9.55025000E+3	8.37949558E+1	-1.31163000E+5	-1.08409000E+5	3.60000000E+1	1.54000000E+2	4.05000000E+0	4.05000000E+0	8.88888889E+0	2.61728395E+1	3.80246914E+1
9.55050000E+3	8.37817338E+1	-1.32318000E+5	-1.09567000E+5	2.50000000E+1	1.42000000E+2	4.05000000E+0	4.05100000E+0	6.17131572E+0	2.79012346E+1	3.50617284E+1
9.55075000E+3	8.37685393E+1	-1.33472000E+5	-1.10723000E+5	1.80000000E+1	1.51000000E+2	4.05000000E+0	4.05100000E+0	4.44334732E+0	2.59259259E+1	3.72839506E+1
9.55100000E+3	8.37553722E+1	-1.34623000E+5	-1.11876000E+5	2.10000000E+1	1.39000000E+2	4.05000000E+0	4.05000000E+0	5.18518519E+0	2.56790123E+1	3.43209877E+1
9.55125000E+3	8.37422322E+1	-1.35771000E+5	-1.13026000E+5	3.90000000E+1	1.46000000E+2	4.05100000E+0	4.05200000E+0	9.62487660E+0	2.69069366E+1	3.60404838E+1
9.55150000E+3	8.37291192E+1	-1.36917000E+5	-1.14175000E+5	3.30000000E+1	1.61000000E+2	4.05000000E+0	4.05000000E+0	8.14814815E+0	2.79012346E+1	3.97530864E+1
9.55175000E+3	8.37160331E+1	-1.38060000E+5	-1.15320000E+5	2.80000000E+1	1.38000000E+2	4.05000000E+0	4.05000000E+0	6.91358025E+0	2.49382716E+1	3.40740741E+1
9.55200000E+3	8.37029737E+1	-1.39201000E+5	-1.16464000E+5	2.50000000E+1	1.29000000E+2	4.04900000E+0	4.05000000E+0	6.17283951E+0	2.37095579E+1	3.18597184E+1
9.55225000E+3	8.36899407E+1	-1.40340000E+5	-1.17605000E+5	3.10000000E+1	1.62000000E+2	4.05100000E+0	4.05200000E+0	7.65054294E+0	2.78943471E+1	3.99901259E+1
9.55250000E+3	8.36769342E+1	-1.41476000E+5	-1.18743000E+5	2.10000000E+1	1.23000000E+2	4.04900000E+0	4.05000000E+0	5.18518519E+0	2.44504816E+1	3.03778711E+1
9.55275000E+3	8.36639539E+1	-1.42609000E+5	-1.19879000E+5	2.90000000E+1	1.35000000E+2	4.05000000E+0	4.05000000E+0	7.16049383E+0	2.49382716E+1	3.33333333E+1
9.55300000E+3	8.36509996E+1	-1.43741000E+5	-1.21013000E+5	3.80000000E+1	1.47000000E+2	4.05000000E+0	4.05000000E+0	9.38271605E+0	2.76543210E+1	3.62962963E+1
