Energy_(eV)	Live_Counts
9550.0	6.66831316
9550.25	7.40740741
9550.5	5.92738948
9550.75	8.3971351
9551.0	7.15872624
9551.25	7.40740741
9551.5	8.39506173
9551.75	6.91187361
9552.0	10.3703704
9552.25	7.15872624
9552.5	5.9244631
9552.75	6.4165844
9553.0	7.40557887
9553.25	6.66666667
9553.5	8.39298939
9553.75	6.66502098
9554.0	6.66666667
9554.25	9.87654321
9554.5	11.1083683
9554.75	11.3580247
9555.0	9.38271605
9555.25	7.15872624
9555.5	10.3678104
9555.75	6.91358025
9556.0	6.41975309
9556.25	9.38271605
9556.5	15.0617284
9556.75	13.5802469
9557.0	8.88888889
9557.25	9.3803999
9557.5	10.3729316
9557.75	8.88888889
9558.0	13.0864198
9558.25	12.8395062
9558.5	11.8518519
9558.75	12.0987654
9559.0	16.0493827
9559.25	14.0740741
9559.5	13.0896518
9559.75	13.5802469
9560.0	19.7482103
9560.25	16.2962963
9560.5	17.7777778
9560.75	17.7777778
9561.0	20.9876543
9561.25	19.9950629
9561.5	23.7037037
9561.75	22.2167366
9562.0	27.6611509
9562.25	25.932329
9562.5	31.1187948
9562.75	28.1481481
9563.0	30.8641975
9563.25	31.3580247
9563.5	37.037037
9563.75	43.2098765
9564.0	40.4838312
9564.25	48.3831153
9564.5	46.9135802
9564.75	47.9012346
9565.0	52.0987654
9565.25	48.3831153
9565.5	51.3580247
9565.75	53.8271605
9566.0	57.7920474
9566.25	58.0246914
9566.5	72.5925926
9566.75	57.7777778
9567.0	79.5061728
9567.25	70.8816992
9567.5	81.2345679
9567.75	86.6666667
9568.0	92.8395062
9568.25	107.433934
9568.5	116.296296
9568.75	128.395062
9569.0	145.714991
9569.25	167.201778
9569.5	185.230921
9569.75	197.530864
9570.0	216.790123
9570.25	236.107681
9570.5	256.790123
9570.75	261.546061
9571.0	287.231415
9571.25	290.936034
9571.5	286.314229
9571.75	313.163744
9572.0	314.320988
9572.25	333.08642
9572.5	342.800692
9572.75	378.211462
9573.0	358.113114
9573.25	386.268214
9573.5	404.297357
9573.75	378.612003
9574.0	373.580247
9574.25	367.498148
9574.5	347.826087
9574.75	337.283951
9575.0	298.024691
9575.25	265.497654
9575.5	242.222222
9575.75	220.246914
9576.0	207.407407
9576.25	184.983947
9576.5	166.91358
9576.75	164.979007
9577.0	142.716049
9577.25	138.765432
9577.5	133.547272
9577.75	133.580247
9578.0	116.790123
9578.25	116.790123
9578.5	105.925926
9578.75	100.987654
9579.0	95.8024691
9579.25	83.4361886
9579.5	83.7037037
9579.75	70.1234568
9580.0	67.654321
9580.25	62.4537151
9580.5	51.1111111
9580.75	50.8641975
9581.0	46.9019995
9581.25	52.345679
9581.5	45.9259259
9581.75	41.4917264
9582.0	40.2469136
9582.25	41.9753086
9582.5	39.5061728
9582.75	32.345679
9583.0	31.1187948
9583.25	28.8960237
9583.5	33.5802469
9583.75	27.654321
9584.0	28.1481481
9584.25	24.4444444
9584.5	21.2398123
9584.75	19.0123457
9585.0	24.6974562
9585.25	18.0246914
9585.5	19.9950629
9585.75	16.0533465
9586.0	16.7901235
9586.25	15.8024691
9586.5	16.2922735
9586.75	13.5836009
9587.0	15.3124228
9587.25	11.3580247
9587.5	11.3580247
9587.75	11.3580247
9588.0	10.8641975
9588.25	9.87654321
9588.5	10.3703704
9588.75	9.62962963
9589.0	10.617284
9589.25	7.89928413
9589.5	10.617284
9589.75	10.1234568
9590.0	9.13580247
9590.25	6.91528773
9590.5	8.88888889
9590.75	9.87654321
9591.0	9.87654321
9591.25	7.40740741
9591.5	7.65432099
9591.75	8.39506173
9592.0	7.40557887
9592.25	6.17283951
9592.5	3.20987654
9592.75	5.43075784
9593.0	6.41975309
9593.25	6.66666667
9593.5	6.41975309
9593.75	4.19856755
9594.0	5.18518519
9594.25	5.92592593
9594.5	5.43209877
9594.75	6.41816835
9595.0	5.67901235
9595.25	4.69135802
9595.5	5.67901235
9595.75	5.68041492
9596.0	5.43209877
9596.25	3.70278943
9596.5	5.18518519
9596.75	2.71604938
9597.0	4.19753086
9597.25	2.96223155
9597.5	3.45679012
9597.75	2.96296296
9598.0	4.94071146
9598.25	4.93949123
9598.5	2.71604938
9598.75	3.20987654
9599.0	2.71604938
9599.25	4.19753086
9599.5	2.96296296
9599.75	3.45593681
9600.0	3.2106693
9600.25	3.20987654
9600.5	3.45593681
9600.75	3.7037037
9601.0	3.45679012
9601.25	4.9382716
9601.5	2.4691358
9601.75	2.96296296
9602.0	2.46852629
9602.25	2.22222222
9602.5	3.95159299
9602.75	1.72839506
9603.0	2.71672018
9603.25	3.45593681
9603.5	3.95061728
9603.75	4.44554211
9604.0	2.96296296
9604.25	1.97579649
9604.5	2.71604938
9604.75	2.22222222
9605.0	2.4691358
9605.25	2.22222222
9605.5	2.71537892
9605.75	1.97530864
9606.0	2.22222222
9606.25	3.45679012
9606.5	1.72839506
9606.75	3.20908418
9607.0	2.22222222
9607.25	2.96296296
9607.5	2.71604938
9607.75	2.46974562
9608.0	2.22277105
9608.25	2.96223155
9608.5	2.71604938
9608.75	1.97530864
9609.0	2.4691358
9609.25	2.22222222
9609.5	1.72839506
9609.75	2.71604938
9610.0	2.71604938
9610.25	1.7279684
9610.5	1.97530864
9610.75	2.4691358
9611.0	1.72839506
9611.25	1.48148148
9611.5	1.72754195
9611.75	1.72839506
9612.0	2.4691358
9612.25	2.96369474
9612.5	2.4691358
9612.75	2.96296296
9613.0	1.2345679
9613.25	1.48148148
9613.5	2.4691358
9613.75	2.71604938
9614.0	2.46852629
9614.25	0.987654321
9614.5	2.22222222
9614.75	1.72754195
9615.0	1.97530864
9615.25	2.4691358
9615.5	2.4691358
9615.75	1.48111577
9616.0	1.48111577
9616.25	1.48148148
9616.5	1.48184737
9616.75	1.72839506
9617.0	1.72839506
9617.25	3.45593681
9617.5	0.987654321
9617.75	3.20987654
9618.0	1.97530864
9618.25	2.96369474
9618.5	2.22277105
9618.75	0.740923685
9619.0	0.49382716
9619.25	1.48148148
9619.5	1.72839506
9619.75	1.48111577
9620.0	2.22167366
9620.25	2.96296296
9620.5	2.22222222
9620.75	1.97530864
9621.0	1.2345679
9621.25	0.987654321
9621.5	3.70461842
9621.75	2.46974562
9622.0	2.22167366
9622.25	1.48111577
9622.5	1.48148148
9622.75	1.97530864
9623.0	1.48111577
9623.25	1.2345679
9623.5	0.740740741
9623.75	1.97530864
9624.0	2.4691358
9624.25	1.2345679
9624.5	1.48148148
9624.75	0.49382716
9625.0	1.48148148
9625.25	2.4691358
9625.5	1.97482103
9625.75	2.22222222
9626.0	2.22222222
9626.25	0.988142292
9626.5	1.97530864
9626.75	1.48184737
9627.0	1.72839506
9627.25	1.72882193
9627.5	2.96369474
9627.75	1.48111577
9628.0	2.22222222
9628.25	1.72839506
9628.5	1.48111577
9628.75	1.2345679
9629.0	1.7279684
9629.25	1.72839506
9629.5	1.48148148
9629.75	1.48148148
9630.0	1.32331278
9630.25	2.3220394
9630.5	1.77278402
9630.75	1.42322097
9631.0	1.64789893
9631.25	1.67290886
9631.5	1.64794007
9631.75	1.62293076
9632.0	1.67286709
9632.25	1.37324911
9632.5	1.87256566
9632.75	1.77278402
9633.0	1.57295516
9633.25	1.62293076
9633.5	1.77273976
9633.75	1.79775281
9634.0	1.8227216
9634.25	1.67290886
9634.5	1.42325651
9634.75	1.27340824
9635.0	2.14731586
9635.25	1.74777159
9635.5	1.74772795
9635.75	1.69783526
9636.0	1.5979626
9636.25	1.74772795
9636.5	1.42322097
9636.75	1.44818976
9637.0	1.74777159
9637.25	1.69779287
9637.5	1.89758058
9637.75	1.72284644
9638.0	1.84769039
9638.25	1.74777159
9638.5	1.79775281
9638.75	1.69787765
9639.0	1.5230581
9639.25	1.79775281
9639.5	1.77273976
9639.75	2.07235774
9640.0	2.07240949
9640.25	1.69787765
9640.5	1.87261242
9640.75	1.67282533
9641.0	1.5980025
9641.25	1.67290886
9641.5	1.34828094
9641.75	1.47319534
9642.0	1.92259675
9642.25	1.5980025
9642.5	2.17228464
9642.75	1.79775281
9643.0	1.69787765
9643.25	1.42322097
9643.5	1.62297129
9643.75	1.77278402
9644.0	1.5979626
9644.25	1.84759812
9644.5	1.57303371
9644.75	1.99745325
9645.0	1.89762797
9645.25	1.97248508
9645.5	2.32209738
9645.75	1.69787765
9646.0	1.97253433
9646.25	2.37203496
9646.5	2.14726224
9646.75	2.22222222
9647.0	2.52178472
9647.25	2.44688023
9647.5	2.2721598
9647.75	2.29707123
9648.0	1.94746829
9648.25	2.09737828
9648.5	2.37203496
9648.75	2.04738958
9649.0	2.37209418
9649.25	2.3220394
9649.5	2.09743065
9649.75	1.84759812
9650.0	2.39700375
9650.25	2.04738958
9650.5	2.14731586
9650.75	2.47191011
9651.0	2.9463171
9651.25	2.79643455
9651.5	3.1710362
9651.75	2.87148243
9652.0	3.12117656
9652.25	2.82147316
9652.5	3.72034956
9652.75	3.12117656
9653.0	3.27082969
9653.25	2.59675406
9653.5	3.39575531
9653.75	3.29588015
9654.0	3.24578049
9654.25	3.52059925
9654.5	3.24594257
9654.75	3.3706182
9655.0	3.67041199
9655.25	3.47057502
9655.5	4.41947566
9655.75	4.3196005
9656.0	4.59425718
9656.25	5.81758258
9656.5	5.46816479
9656.75	6.29213483
9657.0	6.3670412
9657.25	8.16459015
9657.5	7.44051335
9657.75	7.84019975
9658.0	7.66522684
9658.25	7.09078198
9658.5	7.14125197
9658.75	6.09238452
9659.0	5.89233996
9659.25	5.74282147
9659.5	5.09363296
9659.75	3.92009988
9660.0	3.770193
9660.25	3.47066167
9660.5	3.14606742
9660.75	2.57184948
9661.0	2.47191011
9661.25	2.64669164
9661.5	2.24724712
9661.75	2.32198142
9662.0	2.37191651
9662.25	2.34700757
9662.5	2.27221653
9662.75	1.99750312
9663.0	1.82267609
9663.25	1.57295516
9663.5	1.92254875
9663.75	1.64789893
9664.0	1.87256566
9664.25	2.12240006
9664.5	2.0474407
9664.75	2.14726224
9665.0	2.22222222
9665.25	1.92254875
9665.5	1.39825218
9665.75	1.5980025
9666.0	1.5980025
9666.25	1.3732834
9666.5	1.57303371
9666.75	1.47308499
9667.0	1.99750312
9667.25	1.39825218
9667.5	1.69787765
9667.75	1.57299443
9668.0	1.32337886
9668.25	1.42318544
9668.5	2.0474407
9668.75	1.29834461
9669.0	1.34831461
9669.25	1.27337645
9669.5	1.12356745
9669.75	1.27340824
9670.0	1.24843945
9670.25	1.07365793
9670.5	0.973758458
9670.75	1.47315855
9671.0	1.19850187
9671.25	1.07363112
9671.5	1.27337645
9671.75	1.07365793
9672.0	1.1235394
9672.25	1.14850694
9672.5	1.32334582
9672.75	1.24840828
9673.0	1.09862672
9673.25	1.19847195
9673.5	0.948790292
9673.75	1.32331278
9674.0	1.34828094
9674.25	1.19847195
9674.5	1.77278402
9674.75	1.32327974
9675.0	1.19847195
9675.25	1.32334582
9675.5	1.14856429
9675.75	1.04863677
9676.0	1.22340957
9676.25	1.04868914
9676.5	0.898876404
9676.75	1.07365793
9677.0	1.27334465
9677.25	0.973782772
9677.5	1.14853562
9677.75	0.848960024
9678.0	1.82263058
9678.25	1.27337645
9678.5	1.22344011
9678.75	1.14853562
9679.0	0.674157303
9679.25	1.09859929
9679.5	1.32331278
9679.75	1.22340957
9680.0	1.09859929
9680.25	1.17353308
