Legend:

1-P =,Bottom Process
1-A =,Bottom Ambient
2-P =,Top Process
2-A =,Top Ambient


Interval:,5,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,1/20/2023,11:45:00 AM,26,21.2,26,20.4
1,1/20/2023,11:45:05 AM,26,21.2,26,20.4
2,1/20/2023,11:45:10 AM,26,21.2,26,20.4
3,1/20/2023,11:45:15 AM,26,21.2,26,20.4
4,1/20/2023,11:45:20 AM,26,21.2,26,20.4
5,1/20/2023,11:45:25 AM,26,21.2,26,20.4
6,1/20/2023,11:45:30 AM,26,21.2,26,20.4
7,1/20/2023,11:45:35 AM,25,21.2,26,20.4
8,1/20/2023,11:45:40 AM,25,21.2,26,20.4
9,1/20/2023,11:45:45 AM,25,21.2,26,20.4
10,1/20/2023,11:45:50 AM,25,21.2,26,20.4
11,1/20/2023,11:45:55 AM,25,21.2,26,20.4
12,1/20/2023,11:46:00 AM,25,21.2,26,20.4
13,1/20/2023,11:46:05 AM,25,21.2,26,20.4
14,1/20/2023,11:46:10 AM,25,21.2,26,20.4
15,1/20/2023,11:46:15 AM,25,21.2,26,20.4
16,1/20/2023,11:46:20 AM,25,21.2,26,20.4
17,1/20/2023,11:46:25 AM,25,21.2,26,20.4
18,1/20/2023,11:46:30 AM,25,21.2,26,20.4
19,1/20/2023,11:46:35 AM,25,21.2,26,20.4
20,1/20/2023,11:46:40 AM,25,21.2,26,20.4
21,1/20/2023,11:46:45 AM,25,21.2,26,20.4
22,1/20/2023,11:46:50 AM,25,21.2,26,20.4
23,1/20/2023,11:46:55 AM,25,21.2,26,20.4
24,1/20/2023,11:47:00 AM,25,21.2,26,20.4
25,1/20/2023,11:47:05 AM,25,21.2,25,20.4
26,1/20/2023,11:47:10 AM,25,21.2,25,20.4
27,1/20/2023,11:47:15 AM,25,21.3,25,20.4
28,1/20/2023,11:47:20 AM,25,21.3,25,20.4
29,1/20/2023,11:47:25 AM,25,21.3,25,20.4
30,1/20/2023,11:47:30 AM,25,21.3,26,20.4
31,1/20/2023,11:47:35 AM,25,21.3,26,20.4
32,1/20/2023,11:47:40 AM,25,21.3,25,20.4
33,1/20/2023,11:47:45 AM,25,21.3,26,20.4
34,1/20/2023,11:47:50 AM,25,21.3,25,20.4
35,1/20/2023,11:47:55 AM,25,21.3,25,20.4
36,1/20/2023,11:48:00 AM,25,21.3,25,20.4
37,1/20/2023,11:48:05 AM,25,21.3,25,20.5
38,1/20/2023,11:48:10 AM,25,21.3,25,20.5
39,1/20/2023,11:48:15 AM,25,21.3,25,20.5
40,1/20/2023,11:48:20 AM,25,21.3,25,20.5
