Zn-XES Kbeta and VTC 
1molal ZnCl2 + 2 molal NaCl loaded in PEEK cell mounted in temp stage, at 25C, long scans to see the change in counts due to bubble formation and if degassing works
Ge555, Pd target, det offset = 0.15
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.56500000E+3	8.29471480E+1	-1.95468000E+5	-1.82427000E+5	1.90000000E+1	2.80000000E+1	1.04900000E+0	1.05000000E+0	1.80952381E+1	2.00190658E+1	2.66920877E+1
9.56525000E+3	8.29353085E+1	-1.96496000E+5	-1.83457000E+5	2.40000000E+1	3.50000000E+1	1.04900000E+0	1.04900000E+0	2.28789323E+1	2.38322212E+1	3.33651096E+1
9.56550000E+3	8.29234889E+1	-1.97523000E+5	-1.84485000E+5	3.10000000E+1	4.10000000E+1	1.05000000E+0	1.05000000E+0	2.95238095E+1	3.14285714E+1	3.90476190E+1
9.56575000E+3	8.29116891E+1	-1.98548000E+5	-1.85511000E+5	2.60000000E+1	3.60000000E+1	1.05000000E+0	1.05000000E+0	2.47619048E+1	2.57142857E+1	3.42857143E+1
9.56600000E+3	8.28999091E+1	-1.99571000E+5	-1.86536000E+5	3.30000000E+1	4.50000000E+1	1.05100000E+0	1.05200000E+0	3.13688213E+1	3.33016175E+1	4.28163654E+1
9.56625000E+3	8.28881486E+1	-2.00592000E+5	-1.87558000E+5	2.30000000E+1	3.80000000E+1	1.05000000E+0	1.05000000E+0	2.19047619E+1	2.19047619E+1	3.61904762E+1
9.56650000E+3	8.28764077E+1	-2.01611000E+5	-1.88579000E+5	3.40000000E+1	3.70000000E+1	1.04900000E+0	1.05000000E+0	3.23809524E+1	3.24118208E+1	3.52716873E+1
9.56675000E+3	8.28646863E+1	-2.02629000E+5	-1.89598000E+5	4.10000000E+1	4.90000000E+1	1.05000000E+0	1.05000000E+0	3.90476190E+1	3.90476190E+1	4.66666667E+1
9.56700000E+3	8.28529841E+1	-2.03645000E+5	-1.90615000E+5	3.80000000E+1	5.40000000E+1	1.04900000E+0	1.05000000E+0	3.61904762E+1	3.71782650E+1	5.14775977E+1
9.56725000E+3	8.28413012E+1	-2.04659000E+5	-1.91631000E+5	2.90000000E+1	4.60000000E+1	1.05000000E+0	1.05000000E+0	2.76190476E+1	2.85714286E+1	4.38095238E+1
9.56750000E+3	8.28296375E+1	-2.05671000E+5	-1.92644000E+5	4.90000000E+1	5.70000000E+1	1.05100000E+0	1.05100000E+0	4.66222645E+1	4.66222645E+1	5.42340628E+1
9.56775000E+3	8.28179928E+1	-2.06682000E+5	-1.93656000E+5	4.30000000E+1	6.10000000E+1	1.05100000E+0	1.05200000E+0	4.08745247E+1	4.37678402E+1	5.80399619E+1
9.56800000E+3	8.28063671E+1	-2.07691000E+5	-1.94667000E+5	5.80000000E+1	6.20000000E+1	1.04900000E+0	1.05000000E+0	5.52380952E+1	5.52907531E+1	5.91039085E+1
9.56825000E+3	8.27947603E+1	-2.08698000E+5	-1.95675000E+5	5.10000000E+1	6.00000000E+1	1.05000000E+0	1.05000000E+0	4.85714286E+1	5.04761905E+1	5.71428571E+1
9.56850000E+3	8.27831723E+1	-2.09703000E+5	-1.96682000E+5	5.70000000E+1	6.70000000E+1	1.04900000E+0	1.05000000E+0	5.42857143E+1	5.43374643E+1	6.38703527E+1
9.56875000E+3	8.27716029E+1	-2.10707000E+5	-1.97687000E+5	5.30000000E+1	6.50000000E+1	1.05100000E+0	1.05100000E+0	5.04281637E+1	5.23311132E+1	6.18458611E+1
9.56900000E+3	8.27600522E+1	-2.11709000E+5	-1.98690000E+5	7.90000000E+1	9.60000000E+1	1.04900000E+0	1.05000000E+0	7.52380952E+1	7.72163966E+1	9.15157293E+1
9.56925000E+3	8.27485201E+1	-2.12709000E+5	-1.99691000E+5	7.30000000E+1	8.30000000E+1	1.05000000E+0	1.05100000E+0	6.94576594E+1	6.95238095E+1	7.90476190E+1
9.56950000E+3	8.27370063E+1	-2.13707000E+5	-2.00691000E+5	8.90000000E+1	9.90000000E+1	1.04900000E+0	1.05000000E+0	8.47619048E+1	8.57959962E+1	9.43755958E+1
9.56975000E+3	8.27255109E+1	-2.14704000E+5	-2.01689000E+5	8.70000000E+1	9.70000000E+1	1.04900000E+0	1.05000000E+0	8.28571429E+1	8.29361296E+1	9.24690181E+1
9.57000000E+3	8.27140338E+1	-2.15699000E+5	-2.02686000E+5	1.01000000E+2	1.13000000E+2	1.04900000E+0	1.05000000E+0	9.61904762E+1	9.81887512E+1	1.07721640E+2
9.57025000E+3	8.27025749E+1	-2.16692000E+5	-2.03680000E+5	9.90000000E+1	1.16000000E+2	1.05000000E+0	1.05000000E+0	9.42857143E+1	9.52380952E+1	1.10476190E+2
9.57050000E+3	8.26911341E+1	-2.17684000E+5	-2.04674000E+5	1.17000000E+2	1.35000000E+2	1.04900000E+0	1.05000000E+0	1.11428571E+2	1.16301239E+2	1.28693994E+2
9.57075000E+3	8.26797112E+1	-2.18674000E+5	-2.05665000E+5	1.36000000E+2	1.48000000E+2	1.05000000E+0	1.05100000E+0	1.29400571E+2	1.32380952E+2	1.40952381E+2
9.57100000E+3	8.26683064E+1	-2.19662000E+5	-2.06655000E+5	1.40000000E+2	1.57000000E+2	1.04900000E+0	1.05000000E+0	1.33333333E+2	1.33460439E+2	1.49666349E+2
9.57125000E+3	8.26569194E+1	-2.20649000E+5	-2.07643000E+5	1.15000000E+2	1.25000000E+2	1.04900000E+0	1.04900000E+0	1.09628217E+2	1.10581506E+2	1.19161106E+2
9.57150000E+3	8.26455501E+1	-2.21634000E+5	-2.08629000E+5	1.38000000E+2	1.51000000E+2	1.05100000E+0	1.05100000E+0	1.31303520E+2	1.31303520E+2	1.43672693E+2
9.57175000E+3	8.26341986E+1	-2.22618000E+5	-2.09614000E+5	1.66000000E+2	1.87000000E+2	1.04900000E+0	1.05000000E+0	1.58095238E+2	1.62059104E+2	1.78265014E+2
9.57200000E+3	8.26228646E+1	-2.23599000E+5	-2.10597000E+5	1.56000000E+2	1.74000000E+2	1.05000000E+0	1.05000000E+0	1.48571429E+2	1.49523810E+2	1.65714286E+2
9.57225000E+3	8.26115482E+1	-2.24580000E+5	-2.11579000E+5	1.58000000E+2	1.66000000E+2	1.04900000E+0	1.04900000E+0	1.50619638E+2	1.50619638E+2	1.58245949E+2
9.57250000E+3	8.26002493E+1	-2.25558000E+5	-2.12559000E+5	1.68000000E+2	1.80000000E+2	1.04900000E+0	1.04900000E+0	1.60152526E+2	1.61105815E+2	1.71591992E+2
9.57275000E+3	8.25889677E+1	-2.26535000E+5	-2.13537000E+5	2.00000000E+2	2.20000000E+2	1.05000000E+0	1.05000000E+0	1.90476190E+2	1.92380952E+2	2.09523810E+2
9.57300000E+3	8.25777034E+1	-2.27511000E+5	-2.14514000E+5	2.07000000E+2	2.19000000E+2	1.05000000E+0	1.05000000E+0	1.97142857E+2	1.99047619E+2	2.08571429E+2
9.57325000E+3	8.25664564E+1	-2.28484000E+5	-2.15489000E+5	2.19000000E+2	2.34000000E+2	1.04900000E+0	1.05000000E+0	2.08571429E+2	2.11630124E+2	2.23069590E+2
9.57350000E+3	8.25552265E+1	-2.29456000E+5	-2.16462000E+5	2.16000000E+2	2.30000000E+2	1.04900000E+0	1.04900000E+0	2.05910391E+2	2.07816969E+2	2.19256435E+2
9.57375000E+3	8.25440136E+1	-2.30427000E+5	-2.17434000E+5	1.62000000E+2	1.78000000E+2	1.05000000E+0	1.05000000E+0	1.54285714E+2	1.56190476E+2	1.69523810E+2
9.57400000E+3	8.25328178E+1	-2.31396000E+5	-2.18405000E+5	1.96000000E+2	2.08000000E+2	1.05100000E+0	1.05100000E+0	1.86489058E+2	1.88392008E+2	1.97906755E+2
9.57425000E+3	8.25216388E+1	-2.32364000E+5	-2.19374000E+5	1.95000000E+2	2.15000000E+2	1.05100000E+0	1.05100000E+0	1.85537583E+2	1.88392008E+2	2.04567079E+2
9.57450000E+3	8.25104768E+1	-2.33329000E+5	-2.20341000E+5	1.94000000E+2	2.03000000E+2	1.05000000E+0	1.05000000E+0	1.84761905E+2	1.85714286E+2	1.93333333E+2
9.57475000E+3	8.24993314E+1	-2.34294000E+5	-2.21307000E+5	1.63000000E+2	1.74000000E+2	1.04800000E+0	1.04900000E+0	1.55386082E+2	1.57442748E+2	1.66030534E+2
9.57500000E+3	8.24882028E+1	-2.35257000E+5	-2.22271000E+5	1.47000000E+2	1.61000000E+2	1.04900000E+0	1.04900000E+0	1.40133460E+2	1.40133460E+2	1.53479504E+2
9.57525000E+3	8.24770908E+1	-2.36218000E+5	-2.23233000E+5	1.25000000E+2	1.35000000E+2	1.04900000E+0	1.05000000E+0	1.19047619E+2	1.19161106E+2	1.28693994E+2
9.57550000E+3	8.24659954E+1	-2.37178000E+5	-2.24194000E+5	1.34000000E+2	1.45000000E+2	1.04900000E+0	1.04900000E+0	1.27740705E+2	1.29647283E+2	1.38226883E+2
9.57575000E+3	8.24549164E+1	-2.38136000E+5	-2.25154000E+5	1.21000000E+2	1.33000000E+2	1.05000000E+0	1.05000000E+0	1.15238095E+2	1.15238095E+2	1.26666667E+2
9.57600000E+3	8.24438539E+1	-2.39092000E+5	-2.26112000E+5	1.07000000E+2	1.22000000E+2	1.05000000E+0	1.05000000E+0	1.01904762E+2	1.03809524E+2	1.16190476E+2
