Zn-XES Kbeta and VTC 
1molal ZnCl2 + 2 molal NaCl loaded in PEEK cell mounted in temp stage, at 25C, long scans to see the change in counts due to bubble formation
Ge555, Pd target, det offset = 0.15
35kV 2.0 mA
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.36982055E+1	-1.30004000E+5	-1.16881000E+5	1.20000000E+1	6.20000000E+1	4.04900000E+0	4.05000000E+0	2.96296296E+0	5.18646579E+0	1.53124228E+1
9.55025000E+3	8.36849558E+1	-1.31163000E+5	-1.18041000E+5	1.50000000E+1	7.90000000E+1	4.04900000E+0	4.05000000E+0	3.70370370E+0	4.44554211E+0	1.95109904E+1
9.55050000E+3	8.36717338E+1	-1.32318000E+5	-1.19198000E+5	7.00000000E+0	6.30000000E+1	4.04900000E+0	4.05000000E+0	1.72839506E+0	3.95159299E+0	1.55593974E+1
9.55075000E+3	8.36585393E+1	-1.33472000E+5	-1.20353000E+5	1.60000000E+1	7.50000000E+1	4.04900000E+0	4.05000000E+0	3.95061728E+0	5.18646579E+0	1.85230921E+1
9.55100000E+3	8.36453722E+1	-1.34623000E+5	-1.21505000E+5	1.60000000E+1	6.30000000E+1	4.05000000E+0	4.05100000E+0	3.94964206E+0	6.41975309E+0	1.55555556E+1
9.55125000E+3	8.36322322E+1	-1.35771000E+5	-1.22655000E+5	1.70000000E+1	6.20000000E+1	4.05100000E+0	4.05100000E+0	4.19649469E+0	4.44334732E+0	1.53048630E+1
9.55150000E+3	8.36191192E+1	-1.36917000E+5	-1.23802000E+5	1.40000000E+1	7.50000000E+1	4.05000000E+0	4.05000000E+0	3.45679012E+0	5.67901235E+0	1.85185185E+1
9.55175000E+3	8.36060331E+1	-1.38060000E+5	-1.24947000E+5	1.50000000E+1	7.30000000E+1	4.04800000E+0	4.04900000E+0	3.70461842E+0	6.66996047E+0	1.80335968E+1
9.55200000E+3	8.35929737E+1	-1.39201000E+5	-1.26089000E+5	1.50000000E+1	6.50000000E+1	4.04900000E+0	4.05000000E+0	3.70370370E+0	4.93949123E+0	1.60533465E+1
9.55225000E+3	8.35799407E+1	-1.40340000E+5	-1.27229000E+5	1.90000000E+1	7.50000000E+1	4.05000000E+0	4.05000000E+0	4.69135802E+0	5.67901235E+0	1.85185185E+1
9.55250000E+3	8.35669342E+1	-1.41476000E+5	-1.28366000E+5	1.70000000E+1	8.00000000E+1	4.05000000E+0	4.05000000E+0	4.19753086E+0	6.17283951E+0	1.97530864E+1
9.55275000E+3	8.35539539E+1	-1.42609000E+5	-1.29501000E+5	1.50000000E+1	7.10000000E+1	4.05000000E+0	4.05000000E+0	3.70370370E+0	5.18518519E+0	1.75308642E+1
9.55300000E+3	8.35409996E+1	-1.43741000E+5	-1.30634000E+5	1.70000000E+1	5.80000000E+1	4.05000000E+0	4.05000000E+0	4.19753086E+0	5.18518519E+0	1.43209877E+1
9.55325000E+3	8.35280712E+1	-1.44869000E+5	-1.31764000E+5	1.30000000E+1	6.10000000E+1	4.04900000E+0	4.04900000E+0	3.21066930E+0	4.93949123E+0	1.50654483E+1
9.55350000E+3	8.35151686E+1	-1.45996000E+5	-1.32892000E+5	1.50000000E+1	6.10000000E+1	4.04900000E+0	4.04900000E+0	3.70461842E+0	5.68041492E+0	1.50654483E+1
9.55375000E+3	8.35022916E+1	-1.47120000E+5	-1.34018000E+5	1.50000000E+1	8.80000000E+1	4.04900000E+0	4.05000000E+0	3.70370370E+0	6.17436404E+0	2.17337614E+1
9.55400000E+3	8.34894401E+1	-1.48242000E+5	-1.35141000E+5	2.00000000E+1	7.60000000E+1	4.04900000E+0	4.04900000E+0	4.93949123E+0	5.92738948E+0	1.87700667E+1
9.55425000E+3	8.34766138E+1	-1.49361000E+5	-1.36262000E+5	2.00000000E+1	6.10000000E+1	4.04900000E+0	4.05000000E+0	4.93827160E+0	5.43344036E+0	1.50654483E+1
9.55450000E+3	8.34638128E+1	-1.50479000E+5	-1.37380000E+5	1.40000000E+1	6.10000000E+1	4.04900000E+0	4.04900000E+0	3.45764386E+0	3.95159299E+0	1.50654483E+1
