Zn-XES Kbeta and VTC, 1m zncl2 + 1m licl in PEEK tube - sample = 88C, set point = 95C
Ge555, Pd target
35kV 2.5 mA
det offset = +0.12
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.55000000E+3	8.36682055E+1	-1.30004000E+5	-1.19507000E+5	2.80000000E+1	7.70000000E+1	4.05000000E+0	4.05000000E+0	6.91358025E+0	9.38271605E+0	1.90123457E+1
9.55025000E+3	8.36549558E+1	-1.31163000E+5	-1.20667000E+5	2.40000000E+1	8.70000000E+1	4.05000000E+0	4.05000000E+0	5.92592593E+0	8.39506173E+0	2.14814815E+1
9.55050000E+3	8.36417338E+1	-1.32318000E+5	-1.21823000E+5	2.80000000E+1	9.00000000E+1	4.04900000E+0	4.05000000E+0	6.91358025E+0	9.63200790E+0	2.22277105E+1
9.55075000E+3	8.36285393E+1	-1.33472000E+5	-1.22978000E+5	3.80000000E+1	9.00000000E+1	4.05000000E+0	4.05000000E+0	9.38271605E+0	1.28395062E+1	2.22222222E+1
9.55100000E+3	8.36153722E+1	-1.34623000E+5	-1.24130000E+5	3.00000000E+1	8.50000000E+1	4.05000000E+0	4.05000000E+0	7.40740741E+0	1.08641975E+1	2.09876543E+1
9.55125000E+3	8.36022322E+1	-1.35771000E+5	-1.25279000E+5	3.80000000E+1	8.40000000E+1	4.05000000E+0	4.05000000E+0	9.38271605E+0	1.23456790E+1	2.07407407E+1
9.55150000E+3	8.35891192E+1	-1.36917000E+5	-1.26426000E+5	2.80000000E+1	8.70000000E+1	4.05000000E+0	4.05000000E+0	6.91358025E+0	9.38271605E+0	2.14814815E+1
9.55175000E+3	8.35760331E+1	-1.38060000E+5	-1.27571000E+5	2.70000000E+1	7.40000000E+1	4.04900000E+0	4.05000000E+0	6.66666667E+0	8.15016053E+0	1.82761176E+1
9.55200000E+3	8.35629737E+1	-1.39201000E+5	-1.28713000E+5	2.60000000E+1	8.60000000E+1	4.04900000E+0	4.05000000E+0	6.41975309E+0	9.38503334E+0	2.12398123E+1
9.55225000E+3	8.35499407E+1	-1.40340000E+5	-1.29852000E+5	3.60000000E+1	9.70000000E+1	4.04900000E+0	4.05000000E+0	8.88888889E+0	1.18547790E+1	2.39565325E+1
9.55250000E+3	8.35369342E+1	-1.41476000E+5	-1.30990000E+5	2.50000000E+1	9.10000000E+1	4.05000000E+0	4.05000000E+0	6.17283951E+0	1.03703704E+1	2.24691358E+1
9.55275000E+3	8.35239539E+1	-1.42609000E+5	-1.32124000E+5	3.20000000E+1	8.20000000E+1	4.05000000E+0	4.05000000E+0	7.90123457E+0	9.38271605E+0	2.02469136E+1
9.55300000E+3	8.35109996E+1	-1.43741000E+5	-1.33257000E+5	2.90000000E+1	8.30000000E+1	4.04900000E+0	4.05000000E+0	7.16049383E+0	9.63200790E+0	2.04988886E+1
9.55325000E+3	8.34980712E+1	-1.44869000E+5	-1.34387000E+5	3.50000000E+1	7.60000000E+1	4.05000000E+0	4.05000000E+0	8.64197531E+0	1.16049383E+1	1.87654321E+1
9.55350000E+3	8.34851686E+1	-1.45996000E+5	-1.35514000E+5	4.40000000E+1	1.00000000E+2	4.05000000E+0	4.05100000E+0	1.08615157E+1	1.38271605E+1	2.46913580E+1
9.55375000E+3	8.34722916E+1	-1.47120000E+5	-1.36640000E+5	3.60000000E+1	9.20000000E+1	4.04900000E+0	4.05000000E+0	8.88888889E+0	1.16078044E+1	2.27216597E+1
9.55400000E+3	8.34594401E+1	-1.48242000E+5	-1.37762000E+5	5.20000000E+1	1.03000000E+2	4.05000000E+0	4.05000000E+0	1.28395062E+1	1.65432099E+1	2.54320988E+1
9.55425000E+3	8.34466138E+1	-1.49361000E+5	-1.38883000E+5	4.30000000E+1	9.70000000E+1	4.04900000E+0	4.04900000E+0	1.06199061E+1	1.30896518E+1	2.39565325E+1
9.55450000E+3	8.34338128E+1	-1.50479000E+5	-1.40001000E+5	3.50000000E+1	1.07000000E+2	4.05000000E+0	4.05000000E+0	8.64197531E+0	1.28395062E+1	2.64197531E+1
9.55475000E+3	8.34210367E+1	-1.51594000E+5	-1.41117000E+5	4.30000000E+1	1.04000000E+2	4.04900000E+0	4.05000000E+0	1.06172840E+1	1.43245246E+1	2.56853544E+1
9.55500000E+3	8.34082855E+1	-1.52706000E+5	-1.42231000E+5	3.60000000E+1	9.40000000E+1	4.05000000E+0	4.05000000E+0	8.88888889E+0	1.20987654E+1	2.32098765E+1
9.55525000E+3	8.33955591E+1	-1.53816000E+5	-1.43342000E+5	4.80000000E+1	1.24000000E+2	4.05000000E+0	4.05100000E+0	1.18489262E+1	1.75308642E+1	3.06172840E+1
9.55550000E+3	8.33828572E+1	-1.54924000E+5	-1.44452000E+5	4.90000000E+1	1.19000000E+2	4.05000000E+0	4.05100000E+0	1.20957788E+1	1.55555556E+1	2.93827160E+1
9.55575000E+3	8.33701798E+1	-1.56030000E+5	-1.45558000E+5	3.90000000E+1	9.30000000E+1	4.04800000E+0	4.04900000E+0	9.63200790E+0	1.18577075E+1	2.29743083E+1
9.55600000E+3	8.33575267E+1	-1.57134000E+5	-1.46663000E+5	4.60000000E+1	1.09000000E+2	4.04900000E+0	4.05000000E+0	1.13580247E+1	1.48184737E+1	2.69202272E+1
9.55625000E+3	8.33448978E+1	-1.58235000E+5	-1.47766000E+5	5.00000000E+1	1.01000000E+2	4.04900000E+0	4.05000000E+0	1.23456790E+1	1.55593974E+1	2.49444307E+1
9.55650000E+3	8.33322930E+1	-1.59334000E+5	-1.48866000E+5	5.10000000E+1	1.01000000E+2	4.04900000E+0	4.05000000E+0	1.25925926E+1	1.55593974E+1	2.49444307E+1
9.55675000E+3	8.33197120E+1	-1.60431000E+5	-1.49964000E+5	5.10000000E+1	1.24000000E+2	4.05000000E+0	4.05000000E+0	1.25925926E+1	1.65432099E+1	3.06172840E+1
9.55700000E+3	8.33071549E+1	-1.61526000E+5	-1.51060000E+5	5.40000000E+1	1.14000000E+2	4.04900000E+0	4.04900000E+0	1.33366263E+1	1.58063719E+1	2.81551000E+1
9.55725000E+3	8.32946214E+1	-1.62618000E+5	-1.52153000E+5	5.40000000E+1	1.00000000E+2	4.04900000E+0	4.05000000E+0	1.33333333E+1	1.48184737E+1	2.46974562E+1
9.55750000E+3	8.32821114E+1	-1.63709000E+5	-1.53245000E+5	5.00000000E+1	1.23000000E+2	4.05000000E+0	4.05000000E+0	1.23456790E+1	1.67901235E+1	3.03703704E+1
